geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
41900,-13.00966638,-38.47078296,salvador,BA
9641,-23.65305255,-46.57676403,são bernardo do campo,SP
5451,-23.5422426,-46.70023502,sao paulo,SP
32900,-20.05559679,-44.32628801,igarape,MG
97015,-29.68979823,-53.80840124,santa maria,RS
11410,-23.99247877,-46.25850864,guaruja,SP
38405,-18.90505458,-48.25128442,uberlandia,MG
39470,-15.09873163,-44.09759101,itacarambi,MG
21370,-22.87488254,-43.32783203,rio de janeiro,RJ
91420,-30.05046375,-51.15232608,porto alegre,RS
27215,-22.50288769,-44.09186469,volta redonda,RJ
68744,-1.27652065,-47.91510112,castanhal,PA
54589,-8.223108257,-34.96288426,cabo de santo agostinho,PE
28030,-21.76427669,-41.33181913,campos dos goytacazes,RJ
22610,-22.99444185,-43.27112992,rio de janeiro,RJ
6028,-23.5486138,-46.76471318,osasco,SP
64965,-10.13478986,-43.94750769,avelino lopes,PI
90470,-30.03959727,-51.17891689,porto alegre,RS
22753,-22.97569087,-43.33245197,rio de janeiro,RJ
78850,-15.57000667,-54.30188562,primavera do leste,MT
6396,-23.52308778,-46.85472474,carapicuiba,SP
30380,-19.94262337,-43.95045483,belo horizonte,MG
3383,-23.58191245,-46.52976926,sao paulo,SP
34710,-19.88322314,-43.89860316,sabara,MG
85660,-25.73718939,-53.05627074,dois vizinhos,PR
3677,-23.51602827,-46.49761212,sao paulo,SP
14840,-21.35301242,-48.22166465,guariba,SP
93056,-29.76750206,-51.08946905,são leopoldo,RS
22745,-22.93787565,-43.33872796,rio de janeiro,RJ
74310,-16.70691345,-49.29733189,goiania,GO
95098,-29.18896714,-51.19127234,caxias do sul,RS
5587,-23.57311475,-46.73476454,sao paulo,SP
38020,-19.76063584,-47.94909395,uberaba,MG
4403,-23.66911225,-46.65968055,sao paulo,SP
86026,-23.30480675,-51.15892009,londrina,PR
65970,-6.354603323,-47.37890277,porto franco,MA
11703,-24.02236982,-46.45719002,praia grande,SP
20756,-22.8916705,-43.30314216,rio de janeiro,RJ
26135,-22.72649185,-43.42425103,belford roxo,RJ
64208,-2.926598703,-41.75538562,parnaiba,PI
6016,-23.53197388,-46.78383623,osasco,SP
78398,-15.32755701,-57.19756863,porto estrela,MT
1507,-23.55815753,-46.63178498,sao paulo,SP
15950,-21.24037317,-48.79889221,santa adelia,SP
76820,-8.764433697,-63.88233743,porto velho,RO
7175,-23.41282282,-46.40426117,guarulhos,SP
21221,-22.84046504,-43.31031199,rio de janeiro,RJ
89167,-27.21948026,-49.63449144,rio do sul,SC
79032,-20.43268851,-54.57115252,campo grande,MS
8210,-23.53376395,-46.44476455,sao paulo,SP
24110,-22.85998279,-43.09877858,niteroi,RJ
85802,-24.964714,-53.46103174,cascavel,PR
11680,-23.4422883,-45.08542894,ubatuba,SP
90510,-30.02357168,-51.19794633,porto alegre,RS
8695,-23.4914145,-46.27312441,suzano,SP
3813,-23.4876647,-46.46750422,são paulo,SP
57800,-9.121872,-36.02186,união dos palmares,AL
88101,-27.59358847,-48.60578833,sao jose,SC
53030,-7.995498766,-34.8427725,olinda,PE
3223,-23.58887376,-46.55835408,são paulo,SP
37472,-22.12506453,-45.08416841,carmo de minas,MG
64000,-5.079443275,-42.80058514,teresina,PI
9340,-23.67511331,-46.42389865,maua,SP
13738,-21.47974349,-47.00928531,mococa,SP
8613,-23.54057764,-46.2877227,suzano,SP
76100,-16.51883722,-50.38266665,sao luis de montes belos,GO
28908,-22.93054021,-42.04064347,cabo frio,RJ
11730,-24.0974308,-46.62366286,mongaguá,SP
45980,-17.32595795,-39.23080621,prado,BA
7025,-23.48197124,-46.54572594,guarulhos,SP
33840,-19.74005996,-44.08664617,ribeirao das neves,MG
22611,-23.01006378,-43.29258013,rio de janeiro,RJ
19600,-22.22901504,-50.87892924,rancharia,SP
88708,-28.4683596,-49.01806448,tubarao,SC
98590,-27.855047,-53.77909704,santo augusto,RS
26285,-22.7447955,-43.46742825,nova iguacu,RJ
87345,-24.59426301,-52.81457795,campina da lagoa,PR
6531,-23.41594045,-46.8841957,santana de parnaiba,SP
89254,-26.47416839,-49.10853682,jaragua do sul,SC
4950,-23.7241388,-46.76111061,sao paulo,SP
85502,-26.23916859,-52.68528694,pato branco,PR
11040,-23.975673,-46.3164585,santos,SP
32015,-19.92350433,-44.10008037,contagem,MG
37190,-21.37977006,-45.51706106,tres pontas,MG
38200,-20.02939986,-48.9406495,frutal,MG
4571,-23.61108338,-46.69483483,sao paulo,SP
8223,-23.52554831,-46.46705935,sao paulo,SP
88220,-27.102099,-48.6296135,itapema,SC
24460,-22.818663,-43.0470045,sao goncalo,RJ
38414,-18.91152181,-48.32468511,uberlandia,MG
