producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
Bramble Corner Produce,Rob Smith,1584 Victoria Rd,Aylesford,Nova Scotia,B0P 1C0,1 (902) 847-3589,NULL,bramblecornerproduce@yahoo.ca,NULL,09:00am to 5:00pm or by appointment,NULL
Bras d'Or Producers,John Eyking,312 Millville Hwy.,Cape Breton,NULL,B1Y 2E3,(902) 674-2777,(902) 674-2004,NULL,NULL,NULL,NULL
Bridgewater Farmers' Market Association,Rita Landgraf,685 King Street,Bridgewater,Nova Scotia,BV4 1A3,1 (902) 527-7870,NULL,info@bridgewaterfarmersmarket.ca,http://www.bridgewaterfarmersmarket.ca,"Saturdays, 9 am -1 pm  June to Thanksgiving",NULL
Brie's Glen farm,Sue MacKay,161 och Lomond Rd,Grand River,Nova Scotia,B0E1M0,(902) 587-2868,NULL,briesglenfarm@gmail.com,NULL,NULL,NULL
Broadfork Farm,Shannon Jones and Bryan Dyck,3630 Boars Back Road,River Hebert,Nova Scotia,B0L 1G0,1 (902) 251-2686,NULL,broadforkfarm@gmail.com,http://www.broadforkfarm.com,"Open April to Nov, Please call us to confirm availability.",NULL
Bruce Family Farm,NULL,3144 Hwy 201,Centrelea,Nova Scotia,B0S 1C0,(902) 665-2119,NULL,NULL,http://www.brucefamilyfarm.com,"Products available at Annapolis Royal Farmers and Traders Market. Available in many health food stores, call or visit website for locations.   Beef Community Shared Agriculture (CSA) program delivers a monthly share of 10 lbs of different beef cuts. Visit website for details.",NULL
Bushmann Free Range BIO Farm,Peter,2622 Riverside Rd.,Cleveland,NULL,B0E 1J0,1 (902) 625-3231,NULL,pb@nova-scotia.org,http://www.propertyandmore.com,Open Year-Round on Saturdays 1-5 or call ahead,NULL
Canning Village Meat Market,NULL,9820 Main Street,Canning,NULL,B0P 1H0,1 (902) 582-3777,NULL,nancy.roscoe@ns.sympatico.ca,http://www.villagemeatmarket.ca,NULL,NULL
Cape Breton Craft & Design Gallery,NULL,322 Charlotte Street,Sydney,Nova Scotia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cape Breton Farmers' Market Cooperative,Diane MacLean,340 Keltic Drive,Sydney River,Nova Scotia,B1R 1V7,NULL,NULL,manager@capebretonfarmersmarket.com,http://capebretonfarmersmarket.com/,"Saturdays 8:30 am - 1 pm, Year-round",NULL
Cape North Farmers Market,Claudia Gahlinger,"United Church (Masonic) Hall, 60 Bay St. Lawrence Road",Cape North,NULL,NULL,1 (902) 383-2198,NULL,claudia.gahlinger@gmail.com,NULL,"Saturdays, 10 am to 1 pm Mid-June to Mid-October",NULL
Carol Pounder Art,Carol Pounder,NULL,NULL,Nova Scotia,NULL,NULL,NULL,carolpounderart@gmail.com,http://www.carolpounderart.com,NULL,NULL
Casa Nova Fine Beverages,NULL,2635 Clementsvale Rd.,Bear River,Nova Scotia,B0S 1B0,1 (902) 467-0363,NULL,NULL,https://www.casanovafinebeverages.com,NULL,NULL
Casey Fisheries Limited,Linda Walker,146 Water Street,Digby,NULL,B0V 1A0,(902) 245-5801,NULL,caseyfisheries@hotmail.com,NULL,Monday - Friday 8-4 Call in Advance  Clams - shucked Meats and shell Stock (Steamers),NULL
Casson Family Farm,NULL,"523 Mountain Rd, RR # 2",Tatamagouche,Nova Scotia,B0K 1V0,(902) 657-0446,NULL,marcuscasson@hotmail.com,NULL,A wide variety of vegetables are grown in four greenhouses and six acres of field garden. Vegetables are available from May until late December at the farm or at the Truro Farmers Market.,NULL
Chedabucto Bay Brewing Company,Audrey Firth,80 Main Street,Guysborough,NULL,B0H 1N0,(902) 533-2128,NULL,NULL,http://www.rarebirdpub.com/brewery/index.htm,NULL,NULL
Chester Farmers' and Artisan,NULL,20 Smith Road,Chester,Nova Scotia,NULL,NULL,NULL,NULL,NULL,"Friday 10 am - 2 pm, seasonal",NULL
Chester Farmers and Artisan Market,NULL,Smith Road,Chester,NULL,NULL,NULL,NULL,NULL,https://www.facebook.com/ChesterSeasideFarmerArtisanMarket,"Fridays, 2 - 5 pm, June to Sept",NULL
Cheticamp Farmers Market,Sheila McEvoy,"Boardwalk Quai Mathieu, Cheticamp Harbour",Cheticamp,NULL,NULL,NULL,NULL,sheila.leblanc@usainteanne.ca,http://farmersmarketsnovascotia.ca/find-a-market/cheticamp/,"The market offers a variety of products aimed at both tourists and residents of the region. Saturdays, 11 am - 2 pm June to October  Range of products are offered including fresh fruits and vegetables, rolls, cakes, various products and local crafts such as hooked rugs, paintings, photography and wood products. Entertainment will be held during the market and is mostly composed of traditional music such as Scottish and Acadian fiddle, and songs of the region.",NULL
Chez Dugue Meats Inc.,Sam,4011 Highway #14,Windsor Forks,NULL,B0N 2T0,1 (902) 798-2950,NULL,NULL,NULL,NULL,NULL
Chipman Farms Ltd.,NULL,2497 Route 201,Tupperville,Nova Scotia,B0S 1C0,1 (902) 665-2380,NULL,NULL,NULL,For all U-picks please call ahead for hours and season of operation. U-pick line: 902-665-2374  Strawberry u-pick open approximately from late-June to mid-July Blueberry u-pick open approximately from late-July to mid-September,NULL
Christensen Vegetable Farms Inc.,Ron and Irene Christensen,284 Alma Road,Alma,NULL,B0K 2A0,1 (902) 396-5407,1 (902) 396-5396,ichristensen@eastlink.ca,NULL,July to October Summer - 10 to 8 Fall - 10 to 6,Christensen\\'s
City Girl Cakes,Shauna Austin,NULL,Dartmouth,Nova Scotia,B2Y 4P3,(902) 456-4657,NULL,shauna@citygirlcakes.com,http://www.citygirlcakes.com,on demand,NULL
Clearwater Seafood,Tom Miller,757 Bedford Highway,Bedford,Nova Scotia,B4A 3Z7,(902) 443-0333,(902) 443-8365,tjmiller@clearwater.ca,http://shop.clearwater.ca,9AM-7PM,NULL
Climate Technical Gear Limited,Customer Service,131 Thornhill Drive,Dartmouth,Nova Scotia,B3B 1S2,(902) 468-6382,(902) 468-2367,customerservice@climategear.ca,http://www.climategear.ca,Monday to Friday 8:30 am to 4:30 pm,Sevaen
Cochrane Family Farm,Frank Cochrane,5324 Hwy 289,Upper Stewiacke,Nova Scotia,B0N 2P0,1 (902) 671-2378,NULL,cochranefamilyfarm@bellaliant.com,http://www.cochranefamilyfarm.com,"Year round on farm store open Monday to Friday 9am -7pm and Saturday's from 9am-4pm. CSA drop off locations in Brookfield, Truro, Musquodoboit Harbour, and Dartmouth.",NULL
Cogmagun Poultry Processing Co. Ltd. / Mill Acre Farm,"Beth,Cameron and Monica",760 Cogmagun Rd.,Centre Burlington,NULL,B0N 1E0,1 (902) 757-3840,NULL,millacrefarm@eastlink.ca,http://www.CogmagunPoultry.ca,"Open Year round Monday - Friday, 8am - 5pm",NULL
Coldspring Farm,NULL,"RR 4, 77 Delusion Rd.",Middleton,NULL,B0S 1P0,(902) 825-4401,(902) 825-4993,coldspring@ns.sympatico.ca,NULL,"Available at Halifax Farmers Market, Planet Organic, and select locations in Halifax.",NULL
Coldstream Clear Distillery,NULL,87 Main St W,Stewiacke,Nova Scotia,B0N 2J0,1 (902) 956-3393,NULL,sales@coldstreamclear.com,http://www.coldstreamclear.com,Monday - Thursday 10-5:30 PM Friday & Saturday 10-6 PM Sunday 12-5 PM,NULL
Colp Berry Farms,NULL,86 Arlyn Colp Rd. Hwy 208,New Germany,NULL,B0R 1E0,(902) 685-3973,(902) 685-2466,NULL,NULL,NULL,NULL
Comeau's Farm Market and Garden Centre,NULL,Hwy #1,Meteghan Centre,NULL,B0W 2L0,1 (902) 645-2342,1 (902) 645-3459,info@comeausfarmmarket.com,http://www.comeausfarmmarket.com,NULL,NULL
Comeau's Sea Foods Ltd.,Kim d'Entremont,60 Saulnierville Rd Box 39,Saulnierville,Nova Scotia,B0W 2Z0,1 (902) 769-2101,1 (902) 769-3594,kim@comeausea.com,http://www.comeauseafoods.com,8 am - 5 pm,NULL
Compass Distillers,info@compassdistillers.ca,2533 Agricola Street,Halifax,Nova Scotia,B3K 4C4,(902) 446-0467,NULL,info@compassdistillers.ca,http://compassdistillers.ca,"Tuesday - Wednesday 2:00pm - 9:00pm, Thursday - Saturday 2:00pm - 12:00am, Sunday 2:00pm - 9:00pm, Monday Closed",NULL
Corkum's Forest Products,Heather Pick,36 Soldier Rd,Falmouth,NULL,B0P 1L0,(902) 798-2512,NULL,thepicks@eastlink.ca,NULL,NULL,NULL
Cornect Family Farm,Margaret Cornect,365 Cornect Rd,Denver,Nova Scotia,B2H 5C8,(902) 833-2747,NULL,margaret@cornectfamilyfarm.com,http://www.cornectfamilyfarm.com,"If planning to come to farm, please call first. May be in the bee yards!  Can be found at the Antigonish Farmers' Market every Saturday morning from mid May till the last Saturday before Christmas.  Honey, liquid or creamed, un-pasteurized Honey sweetened jams, jellies, pickles and Chutney Honey Butter - regular, cinnamon & orange Honeyliscious! Chocolate Spread (nut free & fat free)   Skin Repair Cream & Lip Balm   Beeswax & Beeswax candles Food Safe Wood Paste",NULL
Cosman and Whidden Honey Co.,"Tom Cosman, Mary Ann Whidden","9925 Hwy 1, RR #2",Wolfville,NULL,B4P 2R2,(902) 542-9443,NULL,cwhoney@ns.sympatico.ca,http://www.novascotiahoney.com,Storefront is open seven days a week year round,Cosman and Whidden Pure Nova Scotia Honey
Country Delights Farm,NULL,2859 Malagash Road,Malagash,Nova Scotia,B0K 1E0,1 (902) 257-2981,NULL,NULL,NULL,Over 40 varieties of apples available from August to November (storage apples until March) from on-farm stand. Open 8 am to 8 pm every day.,NULL
Cox Bros. Poultry Farm Ltd.,Stacey Sherman,"7520 Hwy 214, RR #1",Maitland,NULL,B0N 1T0,1 (902) 261-2823,1 (902) 261-2409,coxbros@ns.sympatico.ca,NULL,NULL,"EdenValley Farms, Maritime Pride, Cox Bros."
Cristall Wine Merchants,NULL,1595 Bedford Hwy,Bedford,Nova Scotia,B4A 3Y4,NULL,NULL,NULL,NULL,NULL,NULL
Crumbs Gluten Free Bakery,Laura Grant,Products available at the Halifax Farmers Market,Halifax,Nova Scotia,B3J 1R9,(902) 843-3983,NULL,crumbsglutenfree@gmail.com,http://www.crumbsglutenfree.com,"Available at the Halifax Farmers' Market   All products are produced in a dedicated gluten free kitchen, with no chance of cross contamination. Ingredients are sourced locally and organically as much as possible.",NULL
D&A Foodservices Limited,Pat McCluskey or John Laviolette,552 Windmill Road,Dartmouth,Nova Scotia,B3B 1B3,(902) 468-4715,(902) 468-4715,dafoods@accesscable.net,http://www.dafoods.ca,5 am -12:30 pm Everyday except Saturdays.,Dave's Famous Chicken Wing Sauce
D.L. Hanna & Sons Ltd,NULL,"5583 Hwy 2, RR#1",Parrsboro,NULL,B0M 1S0,(902) 254-2283,(902) 254-3316,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Daniels U-Pick,Phil Daniels,4473 Chester Road,Windsor,Nova Scotia,B0N 2T0,(902) 798-5432,(902) 798-0684,NULL,NULL,"U-Pick for apples, pears, and plums. Pre-picked apples, pears, plums, pumpkins, squash, plus jams and jellies.   For all U-picks please call ahead for hours and season of operation.  Also does Wagon Rides and Orchard Tours, have picnic tables for tours.",NULL
D'Aubin Family Meats,Ralph and Jennifer D'Aubin,607 Granville Street,Bridgetown,Nova Scotia,B0S1C0,1 (902) 665-2848,NULL,info@daubinfamilymeats.com,http://www.daubinfamilymeats.com,Sunday noon-5:00pm Monday- Closed Tuesday-Saturday 9:30am-6:00pm,NULL
Dave's Fruit and Vegetables,Mark Howe,322 Main Street,Dartmouth,Nova Scotia,B2X 1T5,1 (902) 434-7004,1 (902) 434-6032,NULL,http://davesfruitandvegetable.com/,"Mon-Sat 9-8, Sun 9-6 Open Year Round  Cell: (902) 478-4122",NULL
Dee Dee's Ice Cream,Ditta Kasdan,110 Peggy's Point Road,Peggy's Cove,NULL,B3Z 3S2,1 (902) 221-6614,NULL,dittak@gmail.com,http://www.deedees.ca,11am - 6 pm,NULL
Dempsey Corner Orchards,NULL,2717 Hwy 221,Aylesford,NULL,B0P 1C0,1 (902) 847-1855,1 (902) 847-1855,dempseycornerorchards@ns.aliantzinc.ca,NULL,"For U-pick please call ahead for hours, season of operation and availability.  Wide range of apple varieties for U-pick: Honeycrisp, MacIntosh, Gala, Gravensteins, Cortland, Red Delicious, Golden Delicious, Gloster, Mutsu, Crispin, Jonagold, Empire, Spartan, Northern Spy, Russet, Wagner, King, Cox Orange and Golden Russet.  U-Pick Pears: Flemish Beauty, Bosc, Anjou, Bartlett, Moon Glow and Clapp.  Open May to November",NULL
den Haan Greenhouses,Jodi den Haan,"394 Fitch Road, RR #3",Lawrencetown,Nova Scotia,B0S 1M0,1 (902) 584-3667,1 (902) 584-3175,jodi@denhaan.ca,http://www.denhaan.ca,Not open to the general public.,NULL
Dickie's Meats,John Dickie,3532 Hwy 204,West Leicester,Nova Scotia,B4H 3Y1,(902) 667-0454,(902) 661-1272,j.dickie@ns.sympatico.ca,NULL,NULL,"Sunrise, Larsens, ADL, Galco Foods, Valley House, Saputo, Tough \\'N Tasty"
Dickinson Bros.,David or Karen Dickinson,"7799 Hwy, RR #3 Southampton",Southampton,NULL,B0M 1W0,(902) 546-2342,(902) 546-2787,karen.dickinson@ns.sympatico.ca,NULL,NULL,Dickinson Bros.
Dobbit Bakehouse,Paul Nicholl,7896 Highway #7,Musquodoboit Harbour,Nova Scotia,B0J 2L0,(902) 889-2919,NULL,dobbit@seasidehighspeed.com,NULL,"Mon-Fri: 7am - 5pm, Sat: 8am - 5pm, Sun: 9am - 5pm.",NULL
Domaine de Grand Pre,Cacilia Stutz,11611 Highway #1,Grand Pre,NULL,BOP 1M0,(902) 542-1743,(902) 542-0060,mail@grandprewines.ca,http://www.grandprewines.com,"Monday - Saturday 10 - 6 Sunday 11 - 6  Guided tours offered daily, May to mid October",NULL
Down East Cleaning Solutions,Danielle Beaudry,44 Wright Avenue,Dartmouth,Nova Scotia,B3B 1G9,(902) 468-8180,(902) 468-8559,dbeaudry@bebbingtonindustries.com,NULL,8:30 am - 4:30 pm,NULL
Downey's Delicious,Carole and Dale Downey,401 Spiddle Hill Road,Tatamagouche,NULL,B0K 1V0,(902) 657-3084,NULL,Downey.delicious@ns.sympatico.ca,NULL,NULL,NULL
E O Randall Vegetable Farm,Linda and Barry Dunlop,1781 Hwy 1,Auburn,Nova Scotia,B0P 1R0,(902) 847-9822,NULL,linda.dunlop12@gmail.com,NULL,8am to 8pm daily,NULL
East Coast Apples Ltd.,Roy Beckett,"360 Main Street, Suite 15",Wolfville,NULL,B4P 1C4,1 (902) 582-1373,1 (902) 582-3512,NULL,NULL,NULL,NULL
East Coast Lobster Rope Products,Bob or Nancy,5072 Main Street,Oxford,Nova Scotia,B0M 1P0,(902) 397-0112,NULL,nancy.mills2009@gmail.com,http://www.eastcoastlobsterrope.com,Our online store is Open 24/7,NULL
East Mountain Ranch,Linda Finnie,15 young Street,Truro,Nova Scotia,B2N 3W3,1 (902) 897-4712,NULL,highlandspirit8@aol.com,http://www.eastmountainranch.com,April-December at the market in Truro from 8:00am-1:00pm.,NULL
Eastern Foodservice,"Jeff Clarke, Jim Ross, J. F. Charette",4 Dominion Crescent,Lakeside,NULL,B3T 1M1,(902) 876-2356,(902) 876-0162,NULL,http://www.easternmeats.ca/index.htm,NULL,Eastern Brand
Ebbett's Meadow Brook Farm,Joe or Lorenda Ebbett,767 Upper River John Rd,Tatamagouche,Nova Scotia,B0K 1V0,1 (902) 657-3420,1 (902) 657-0371,meadowbrook@seasidehighspeed.com,http://www.ebbettsmeadowbrook.com,phone ahead to schedule poultry processing and meat cutting or sausage making.,NULL
