year,board_council,board_name,school_code,school_name,mail_address_1,city,postal_code,civic_address_1,civic_address_2,civic_postal_code,mobile,fax,email,coordinates
2020-2021,58,South Shore Regional Centre for Education,926,Bayview Community School,PO Box 160,Mahone Bay,B0J 2E0,110 Clearway Street,Mahone Bay,B0J 2E0,902-624-2120,902-624-2124,bcs@ssrce.ca,POINT (-64.386491 44.454189)
2020-2021,52,Strait Regional Centre for Education,932,Bayview Education Centre,PO Box 6,Port Hood,B0E 2W0,133 Company Rd,Port Hood,B0E 2W0,902-787-5220,902-787-5224,Lisa.MacEachern@srce.ca,POINT (-61.523589 46.00787)
2020-2021,54,Halifax Regional Centre for Education,304,Beaver Bank Kinsac Elementary,28 Kinsac Road,Beaver Bank,B4G 1C5,28 Kinsac Road,Beaver Bank,B4G 1C5,902-864-6805,902-864-6809,bbks@hrce.ca,POINT (-63.684036 44.84853)
2020-2021,54,Halifax Regional Centre for Education,752,Beaver Bank Monarch Drive Elementary,38 Monarch Drive,Beaver Bank,B4E 3A5,38 Monarch Drive,Beaver Bank,B4E 3A5,902-864-7540,902-864-7543,bbmon@hrce.ca,POINT (-63.681481 44.810744)
2020-2021,54,Halifax Regional Centre for Education,268,Bedford and Forsyth Education Centres,1658 Bedford Highway Suite 0070,Bedford,B4A 2X9,1658 Bedford Highway Suite 0070,Bedford,B4A 2X9,902-832-8630,902-832-2424,bfec@hrce.ca,POINT (-63.655089 44.735231)
2020-2021,54,Halifax Regional Centre for Education,937,Bedford South,2 Oceanview Drive,Bedford,B4A 4J6,2 Oceanview Drive,Bedford,B4A 4J6,902-832-5800,902-832-5805,bedfords@hrce.ca,POINT (-63.679919 44.708968)
2020-2021,54,Halifax Regional Centre for Education,291,Beechville Lakeside Timberlea Junior Elementary,22 James Street,Timberlea,B3T 1G9,22 James Street,Timberlea,B3T 1G9,902-876-3236,902-876-3238,bltjr@hrce.ca,POINT (-63.742293 44.659033)
2020-2021,54,Halifax Regional Centre for Education,290,Beechville Lakeside Timberlea Senior Elementary,24 James Street,Timberlea,B3T 1G9,24 James Street,Timberlea,B3T 1G9,902-876-3230,902-876-7909,blt@hrce.ca,POINT (-63.743321 44.658511)
2020-2021,54,Halifax Regional Centre for Education,514,Bel Ayr Elementary,4 Bell Street,Dartmouth,B2W 2P3,4 Bell Street,Dartmouth,B2W 2P3,902-435-8353,902-435-8373,belayr@hrce.ca,POINT (-63.50735 44.675983)
2020-2021,54,Halifax Regional Centre for Education,322,Bell Park Academic Centre,4 Thomas Street,Lake Echo,B3E 1M6,4 Thomas Street,Lake Echo,B3E 1M6,902-829-2388,902-829-2402,bpac@hrce.ca,POINT (-63.403502 44.732214)
2020-2021,55,Annapolis Valley Regional Centre for Education,75,Berwick and District School,PO Box 40,Berwick,B0P 1E0,249 Veterans Dr,Berwick,B0P 1E0,902-538-4720,902-538-4727,bads@avrce.ca,POINT (-64.743659 45.044283)
2020-2021,53,Chignecto Central Regional Centre for Education,1194,Bible Hill Consolidated School,103 Pictou Road,Truro,B2N 2S2,103 Pictou Road,Truro,B2N 2S2,902-896-5511,902-896-5516,FougereKJ@ccrce.ca,POINT (-63.259464 45.375883)
2020-2021,53,Chignecto Central Regional Centre for Education,7,Bible Hill Junior High School,741 College Rd,Truro,B2N 5Y9,741 College Rd,Truro,B2N 5Y9,902-896-5500,902-896-5504,ThomsonTW@ccrce.ca,POINT (-63.23311 45.377973)
2020-2021,54,Halifax Regional Centre for Education,515,Bicentennial,85 Victoria Road,Dartmouth,B3A 1T9,85 Victoria Road,Dartmouth,B3A 1T9,902-464-2094,902-464-2098,bicent@hrce.ca,POINT (-63.570857 44.671207)
2020-2021,58,South Shore Regional Centre for Education,405,Big Tancook Elementary School,36 School Road,Big Tancook Island,B0J 3G0,36 School Road,Big Tancook Island,B0J 3G0,902-228-8300,902-228-8301,btes@ssrce.ca,POINT (-64.170972 44.460437)
2020-2021,58,South Shore Regional Centre for Education,1156,Bluenose Academy,PO Box 1210,Lunenburg,B0J 2C0,18 Tannery Road,Lunenburg,B0J 2C0,902-634-2200,902-634-2210,ba@ssrce.ca,POINT (-64.31929 44.375095)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,93,Boularderie School,12065 Kempt Rd,Boularderie,B1X 1J9,12065 Kempt Head Rd,Boularderie,B1X 1J9,902-674-2716,902-674-0117,laveryb1@gnspes.ca,POINT (-60.487336 46.22376)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,101,Bras d'Or Elementary School,10 Alder Pt Rd,Bras d`Or,B1Y 2K1,10 Alder Pt Rd,Bras d`Or,B1Y 2K1,902-736-4000,902-736-1091,kubleks@gnspes.ca,POINT (-60.289052 46.251634)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,640,Breton Education Centre,667 8th St,New Waterford,B1H 3T4,667 8th St,New Waterford,B1H 3T4,902-862-6432,902-862-7330,daucoin@gnspes.ca,POINT (-60.089183 46.242045)
2020-2021,55,Annapolis Valley Regional Centre for Education,1192,Bridgetown Regional Community School,25 Cromwell Court,Bridgetown,B0S 1C0,25 Cromwell Court,Bridgetown,B0S 1C0,902-665-5400,902-665-5404,brcs@avrce.ca,POINT (-65.277002 44.839851)
2020-2021,58,South Shore Regional Centre for Education,509,Bridgewater Elementary School,130 York St.,Bridgewater,B4V 1R3,130 York St.,Bridgewater,B4V 1R3,902-541-8240,902-541-8250,bes@ssrce.ca,POINT (-64.52372 44.376974)
2020-2021,58,South Shore Regional Centre for Education,508,Bridgewater Junior High School,100 York Street,Bridgewater,B4V 1R3,100 York Street,Bridgewater,B4V 1R3,902-541-8260,902-541-8270,bjhs@ssrce.ca,POINT (-64.522883 44.376576)
2020-2021,53,Chignecto Central Regional Centre for Education,16,Brookfield Elementary School,233 Highway 289,Brookfield,B0N 1C0,233 Highway 289,Brookfield,B0N 1C0,902-673-5050,902-673-5052,WeatherbeeKL@ccrce.ca,POINT (-63.265065 45.25708)
2020-2021,54,Halifax Regional Centre for Education,519,Brookhouse Elementary,15 Christopher Avenue,Dartmouth,B2W 3G2,15 Christopher Avenue,Dartmouth,B2W 3G2,902-435-8318,902-435-8323,bes@hrce.ca,POINT (-63.52195 44.679747)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,995,Brookland Elementary School,153 Cottage Rd,Sydney,B1P 2E5,153 Cottage Rd,Sydney,B1P 2E5,902-562-0768,902-563-4560,boutj@gnspes.ca,POINT (-60.181923 46.129999)
2020-2021,55,Annapolis Valley Regional Centre for Education,363,Brooklyn District Elementary School,8008 Hwy 14,Newport,B0N 2A0,8008 Hwy 14,Newport,B0N 2A0,902-757-4120,902-757-4125,bdes@avrce.ca,POINT (-64.009151 45.013585)
2020-2021,54,Halifax Regional Centre for Education,286,Brookside Junior High,2239 Prospect Road,Hatchet Lake,B3T 1R8,2239 Prospect Road,Hatchet Lake,B3T 1R8,902-852-2062,902-852-5530,bjhs@hrce.ca,POINT (-63.730419 44.561941)
2020-2021,54,Halifax Regional Centre for Education,595,Burton Ettinger Elementary,52 Alex Street,Halifax,B3N 2W4,52 Alex Street,Halifax,B3N 2W4,902-457-8922,902-457-8928,bees@hrce.ca,POINT (-63.6363 44.652363)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,107,Cabot Education Centre,32039 Cabot Trail,Neil's Harbour,B0C 1N0,32039 Cabot Trail,Neil's Harbour,B0C 1N0,902-336-2266,902-336-2525,simmsdj@gnspes.ca,POINT (-60.360426 46.824105)
2020-2021,54,Halifax Regional Centre for Education,319,Caldwell Road Elementary,280 Caldwell Road,Dartmouth,B2V 1A3,280 Caldwell Road,Dartmouth,B2V 1A3,902-462-6010,902-462-6017,cres@hrce.ca,POINT (-63.492712 44.660536)
2020-2021,54,Halifax Regional Centre for Education,516,Caledonia Junior High,38 Caledonia Road,Dartmouth,B2X 1K8,38 Caledonia Road,Dartmouth,B2X 1K8,902-435-8413,902-435-8425,cjhs@hrce.ca,POINT (-63.530451 44.686843)
2020-2021,55,Annapolis Valley Regional Centre for Education,58,Cambridge and District Elementary School,6113 Hwy 1,Cambridge,B0P 1G0,6113 Hwy 1,Cambridge,B0P 1G0,902-538-4680,902-538-4686,cads@avrce.ca,POINT (-64.632164 45.05759)
2020-2021,52,Strait Regional Centre for Education,974,Cape Breton Highlands Education Centre/Academy,PO Box 3,Margaree Harbour,B0E 2B0,11070 Cabot Trail,Terre Noire,B0E 1C0,902-235-7500,902-235-7504,Angela.MacKinnon@srce.ca,POINT (-61.08991 46.461887)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,962,Cape Smokey Elementary School,PO Box 269,Ingonish,B0C 1K0,39 Brandon Lane,Ingonish,B0C 1K0,902-285-2638,902-285-2892,fitzfm@gnspes.ca,POINT (-60.377535 46.693052)
2020-2021,59,Tri-County Regional Centre for Education,497,Carleton Consolidated Elementary School,Hwy 340,Carleton,B5A 5P8,4014 Hwy 340,Carleton,B5A 5P8,902-761-4200,902-761-4202,cces@tcrce.ca,POINT (-65.928126 44.006362)
2020-2021,54,Halifax Regional Centre for Education,312,Caudle Park Elementary,35 McGee Drive,Lower Sackville,B4C 2J1,35 McGee Drive,Lower Sackville,B4C 2J1,902-864-6864,902-864-6896,cpes@hrce.ca,POINT (-63.663046 44.765805)
2020-2021,54,Halifax Regional Centre for Education,743,Cavalier Drive,116 Cavalier Drive,Lower Sackville,B4C 3L9,116 Cavalier Drive,Lower Sackville,B4C 3L9,902-864-7524,902-864-7554,cds@hrce.ca,POINT (-63.662085 44.778328)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,1169,CBVRCE Adult High School,290 Whitney Ave,Sydney,B1P 5A6,290 Whitney Ave,Sydney,B1P 5A6,902-562-5178,902-562-1605,hpatters@gnspes.ca,POINT (-60.177946 46.137538)
2020-2021,53,Chignecto Central Regional Centre for Education,1198,CCRCE Alternate High School,37 Dickie Street,Trenton,B0K 1X0,37 Dickie Street,Trenton,B0K 1X0,902-755-8165,902-755-8155,CallaghanK@ccrce.ca,POINT (-62.633424 45.613514)
2020-2021,53,Chignecto Central Regional Centre for Education,20,Central Colchester Junior High,61 Onslow Road,Central Onslow,B6L 5K4,61 Onslow Road,Central Onslow,B6L 5K4,902-896-5570,902-896-5575,macphersonc@ccrce.ca,POINT (-63.323358 45.379119)
2020-2021,55,Annapolis Valley Regional Centre for Education,67,Central Kings Rural High School,6125 Hwy 1,Cambridge,B0P 1G0,6125 Hwy 1,Cambridge,B0P 1G0,902-538-4700,902-538-4711,ck@avrce.ca,POINT (-64.630956 45.057698)
2020-2021,54,Halifax Regional Centre for Education,611,Central Spryfield,364 Herring Cove Road,Halifax,B3R 1V8,364 Herring Cove Road,Halifax,B3R 1V8,902-479-4286,902-479-4295,cses@hrce.ca,POINT (-63.617663 44.611613)
2020-2021,57,Conseil scolaire acadien provincial,1155,Centre Scolaire de la Rive-Sud,"20, chemin Petite Évangéline",Cookville,B4V 8Z9,"20, chemin Petite Évangéline",Cookville,B4V 8Z9,902-527-5110,902-527-5102,ers@csap.ca,POINT (-64.541362 44.404344)
2020-2021,57,Conseil scolaire acadien provincial,387,Centre scolaire Étoile de l'Acadie,"15, rue Inglis",Sydney,B1P 7C6,"15, rue Inglis",Sydney,B1P 7C6,902-563-3900,902-563-3902,csea@csap.ca,POINT (-60.183258 46.140887)
2020-2021,55,Annapolis Valley Regional Centre for Education,965,Champlain Elementary School,PO Box 130,Granville Ferry,B0S 1K0,109 North St,Granville Ferry,B0S 1K0,902-532-3270,902-532-3273,ces@avrce.ca,POINT (-65.522636 44.753028)
2020-2021,54,Halifax Regional Centre for Education,1183,Charles P Allen High,200 Innovation Drive,Bedford,B4B 0G4,200 Innovation Drive,Bedford,B4B 0G4,902-832-8964,902-832-8981,cpah@hrce.ca,POINT (-63.69904 44.721985)
2020-2021,54,Halifax Regional Centre for Education,596,Chebucto Heights Elementary,230 Cowie Hill Road,Halifax,B3P 2M3,230 Cowie Hill Road,Halifax,B3P 2M3,902-479-4298,902-479-4408,ches@hrce.ca,POINT (-63.623847 44.629746)
2020-2021,52,Strait Regional Centre for Education,986,Chedabucto Ed Centre/Guysborough Academy,PO Box 19,Guysborough,B0H 1N0,27 Green St,Guysborough,B0H 1N0,902-533-4006,902-533-3554,barbara.avery@srce.ca,POINT (-61.50263 45.386493)
2020-2021,58,South Shore Regional Centre for Education,216,Chester Area Middle School,PO Box 440,Chester,B0J 1J0,204 Duke Street,Chester,B0J 1J0,902-275-2720,902-275-2730,cams@ssrce.ca,POINT (-64.23764 44.545495)
2020-2021,58,South Shore Regional Centre for Education,207,Chester District Elementary School,PO Box 368,Chester,B0J 1J0,202 Duke Street,Chester,B0J 1J0,902-275-2750,902-275-2755,cdes@ssrce.ca,POINT (-64.238227 44.544582)
2020-2021,53,Chignecto Central Regional Centre for Education,27,Chiganois Elementary School,11145 Hwy 2,Masstown,B0M 1G0,11145 Hwy 2,Masstown,B0M 1G0,902-662-4420,902-662-4422,HarnishK@ccrce.ca,POINT (-63.466347 45.384338)
2020-2021,54,Halifax Regional Centre for Education,1109,Citadel High,1855 Trollope St,Halifax,B3H 0A4,1855 Trollope St,Halifax,B3H 0A4,902-491-4444,902-491-1700,chs@hrce.ca,POINT (-63.585665 44.64761)
2020-2021,55,Annapolis Valley Regional Centre for Education,141,Clark Rutherford Memorial School,PO Box 70,Clementsport,B0S 1E0,234 Spinnaker Dr,Clementsport,B0S 1E0,902-638-4800,902-638-4804,crms@avrce.ca,POINT (-65.629228 44.650863)
2020-2021,59,Tri-County Regional Centre for Education,511,Clark's Harbour Elementary School,PO Box 130,Clark's Harbour,B0W 1P0,29 School Street,Clark's Harbour,B0W 1P0,902-745-3710,902-745-3711,ches@tcrce.ca,POINT (-65.636207 43.448548)
2020-2021,54,Halifax Regional Centre for Education,600,Clayton Park Junior High,45 Plateau Crescent,Halifax,B3M 2V7,45 Plateau Crescent,Halifax,B3M 2V7,902-457-8930,902-457-1646,cpjh@hrce.ca,POINT (-63.642512 44.661331)
2020-2021,53,Chignecto Central Regional Centre for Education,14,Cobequid Consolidated Elementary School,2998 Highway 236,Old Barns,B6L 1K3,2998 Highway 236,Old Barns,B6L 1K3,902-896-5560,902-896-5565,McInnisND@ccrce.ca,POINT (-63.385396 45.35036)
2020-2021,53,Chignecto Central Regional Centre for Education,36,Cobequid District Elementary School,8993 Highway 354,Noel,B0N 2C0,8993 Highway 354,Noel,B0N 2C0,902-369-2960,902-369-2961,EikelenboomN@ccrce.ca,POINT (-63.746788 45.292051)
2020-2021,53,Chignecto Central Regional Centre for Education,44,Cobequid Educational Centre,34 Lorne Street,Truro,B2N 3K3,34 Lorne Street,Truro,B2N 3K3,902-896-5700,902-896-5707,KaulbachW@ccrce.ca,POINT (-63.279399 45.368955)
2020-2021,54,Halifax Regional Centre for Education,352,Colby Village Elementary,92 Colby Drive,Dartmouth,B2V 1J7,92 Colby Drive,Dartmouth,B2V 1J7,902-464-5152,902-464-5154,cves@hrce.ca,POINT (-63.484835 44.666148)
2020-2021,55,Annapolis Valley Regional Centre for Education,732,Coldbrook and District School,2305 English Mountain Rd,Coldbrook,B4R 1B6,2305 English Mountain Rd,Coldbrook,B4R 1B6,902-690-3830,902-690-3833,cbds@avrce.ca,POINT (-64.586306 45.056966)
2020-2021,54,Halifax Regional Centre for Education,357,Cole Harbour District High,2 Chameau Cres,Cole Harbour,B2W 4X4,2 Chameau Cres,Cole Harbour,B2W 4X4,902-464-5220,902-464-5241,chdhs@hrce.ca,POINT (-63.49061 44.681363)
2020-2021,54,Halifax Regional Centre for Education,339,Colonel John Stuart Elementary,5 John Stewart Drive,Cole Harbour,B2W 4J7,5 John Stewart Drive,Cole Harbour,B2W 4J7,902-464-5200,902-464-5247,cjses@hrce.ca,POINT (-63.478997 44.6739)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,186,Coxheath Elementary School,30 Mt Florence St,Coxheath,B1R 1T8,30 Mt Florence St,Coxheath,B1R 1T8,902-562-4961,902-562-6192,tleblan1@gnspes.ca,POINT (-60.236048 46.112912)
2020-2021,54,Halifax Regional Centre for Education,517,Crichton Park Elementary,49 Lyngby Avenue,Dartmouth,B3A 3V1,49 Lyngby Avenue,Dartmouth,B3A 3V1,902-464-2503,902-464-2770,crichton@hrce.ca,POINT (-63.564166 44.682806)
2020-2021,53,Chignecto Central Regional Centre for Education,1104,Cumberland North Academy,RR3,Brookdale,B4H 3Y1,879 Highway 204,Brookdale,B4H 3Y1,902-661-2464,902-661-2438,WellsK@ccrce.ca,POINT (-64.157401 45.801407)
2020-2021,54,Halifax Regional Centre for Education,605,Cunard Junior High,121 Williams Lake Road,Halifax,B3P 1T6,121 Williams Lake Road,Halifax,B3P 1T6,902-479-4418,902-479-4425,cunard@hrce.ca,POINT (-63.603372 44.620934)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,1101,Cusack School,500 Birch Hill Dr,Sydney,B1P 3V9,500 Birch Hill Dr,Sydney,B1P 3V9,902-564-0431,902-562-6871,orychoa1@gnspes.ca,POINT (-60.165657 46.13702)
2020-2021,53,Chignecto Central Regional Centre for Education,230,Cyrus Eaton Elementary School,PO box 129,Pugwash,B0K 1L0,171 Queen Street,Pugwash,B0K 1L0,902-243-3900,902-243-3903,WellsSE@ccrce.ca,POINT (-63.660195 45.853112)
2020-2021,52,Strait Regional Centre for Education,930,Dalbrae Academy,PO Box 220,Mabou,B0E 1X0,"11156 Hwy 19, SW Mabou",Mabou,B0E 1X0,902-945-5325,902-945-5329,Carol.Smith@srce.ca,POINT (-61.408879 46.062245)
2020-2021,54,Halifax Regional Centre for Education,518,Dartmouth High,95 Victoria Rd,Dartmouth,B3A 1V2,95 Victoria Rd,Dartmouth,B3A 1V2,902-464-2457,902-464-2384,dhs@hrce.ca,POINT (-63.572268 44.672093)
2020-2021,54,Halifax Regional Centre for Education,1193,Dartmouth South Academy,111 Prince Arthur Avenue,Dartmouth,B2Y 0C5,111 Prince Arthur Avenue,Dartmouth,B2Y 0C5,902-464-2081,902-461-0199,dsa@hrce.ca,POINT (-63.548562 44.664906)
2020-2021,53,Chignecto Central Regional Centre for Education,28,Debert Elementary School,PO Box 279,Debert,B0M 1G0,1320 Masstown Road,Debert,B0M 1G0,902-662-4400,902-662-4404,fultzs@ccrce.ca,POINT (-63.460125 45.437532)
2020-2021,59,Tri-County Regional Centre for Education,541,Digby Elementary School,PO Box 1538,Digby,B0V 1A0,20 Shreve St,Digby,B0V 1A0,902-245-7550,902-245-7555,des@tcrce.ca,POINT (-65.767247 44.619201)
2020-2021,59,Tri-County Regional Centre for Education,257,Digby Neck Consolidated Elementary School,RR1,Sandy Cove,B0V 1E0,6203 Highway 217,Digby Neck,B0V 1E0,902-834-6600,902-834-6602,dnces@tcrce.ca,POINT (-66.097927 44.480521)
2020-2021,59,Tri-County Regional Centre for Education,709,Digby Regional High School,Box 1660,Digby,B0V 1A0,107 King St,Digby,B0V 1A0,902-245-7500,902-245-7518,drhs@tcrce.ca,POINT (-65.759265 44.620348)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,996,Donkin School,81 Centre Ave,Donkin,B1A 6N4,81 Centre Ave,Donkin,B1A 6N4,902-737-2120,902-737-1018,jacksonbm@gnspes.ca,POINT (-59.870084 46.185104)
2020-2021,55,Annapolis Valley Regional Centre for Education,366,Dr. Arthur Hines School,75 Musgrave Rd,Summerville,B0N 2K0,75 Musgrave Rd,Summerville,B0N 2K0,902-633-6300,902-633-6303,dahes@avrce.ca,POINT (-64.166283 45.098081)
2020-2021,58,South Shore Regional Centre for Education,386,Dr. John C. Wickwire Academy,PO Box 1180,Liverpool,B0T 1K0,311 Old Port Mouton Road,Liverpool,B0T 1K0,902-354-7660,902-354-7666,djcwa@ssrce.ca,POINT (-64.728373 44.028058)
2020-2021,52,Strait Regional Centre for Education,707,Dr. John Hugh Gillis Regional High,105 Braemore Av,Antigonish,B2G 1L3,105 Braemore Av,Antigonish,B2G 1L3,902-863-1620,902-863-8284,jack.macdonald@srce.ca,POINT (-62.004261 45.623871)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,98,Dr. T. L. Sullivan School,256 Park Rd,Florence,B1Y 1N2,256 Park Rd,Florence,B1Y 1N2,902-736-6273,902-736-8844,tpodetz@gnspes.ca,POINT (-60.271135 46.24937)
2020-2021,53,Chignecto Central Regional Centre for Education,408,Dr. W. A. MacLeod Consolidated,6193 Trafalgar Road,Riverton,B0K 1S0,6193 Stellarton Trafalgar Road,Riverton,B0K 1S0,902-755-8450,902-755-8455,StaceyRL@ccrce.ca,POINT (-62.665093 45.541829)
2020-2021,59,Tri-County Regional Centre for Education,981,Drumlin Heights Consolidated School,RR #1,Glenwood,B0W 1W0,5428 Hwy 3,Glenwood,B0W 1W0,902-643-6000,902-643-6006,dhcs@tcrce.ca,POINT (-65.855421 43.795001)
2020-2021,54,Halifax Regional Centre for Education,601,Duc dAnville Elementary,12 Clayton Park Drive,Halifax,B3M 1L3,12 Clayton Park Drive,Halifax,B3M 1L3,902-457-8940,902-457-8945,ddes@hrce.ca,POINT (-63.645568 44.662496)
2020-2021,54,Halifax Regional Centre for Education,343,Dutch Settlement Elementary,990 Highway 277,Dutch Settlement,B2S 2J5,990 Highway 277,Dutch Settlement,B2S 2J5,902-883-3000,902-883-3001,dses@hrce.ca,POINT (-63.440343 44.991961)
2020-2021,55,Annapolis Valley Regional Centre for Education,65,Dwight Ross School,PO Box 1420,Greenwood,B0P 1N0,949 Tremont Mountain Rd,Greenwood,B0P 1N0,902-765-7510,902-765-7520,dres@avrce.ca,POINT (-64.941056 44.964455)
2020-2021,53,Chignecto Central Regional Centre for Education,750,E. B. Chandler Junior High School,PO Box 790,Amherst,B4H 4B9,28 Dickey Street,Amherst,B4H 4B9,902-661-2450,902-661-2455,beeds@ccrce.ca,POINT (-64.197212 45.83282)
2020-2021,52,Strait Regional Centre for Education,975,East Antigonish Education Centre/Academy,10128 Route #4,Monastery,B0H 1W0,10128 Route #4,Monastery,B0H 1W0,902-232-2810,902-232-3829,paul.brown@srce.ca,POINT (-61.620577 45.609224)
2020-2021,52,Strait Regional Centre for Education,484,East Richmond Education Centre,PO Box 219,St. Peter`s,B0E 3B0,9359 Pepperell St,St. Peter`s,B0E 3B0,902-535-2066,902-535-3166,sonya.sauve@srce.ca,POINT (-60.876333 45.658212)
