facility,permit_type,permit_status,facility_address,city
HAMMONDS PLAINS CONS. SCHOOL,Eating Establishment,Awaiting Application,2180 HAMMONDS PLAINS RD.,HAMMONDS PLAINS
CANADIAN TIRE GAS,Food Shop,Awaiting Application,165 MAIN ST.,ANTIGONISH
LAST PORT MOTEL (THE),Eating Establishment,Awaiting Application,10 PARIS BR.,YELLOW MARSH
CAPTAIN MA NOODLES,Eating Establishment,Awaiting Application,5670 SPRING GARDEN RD.,HALIFAX
WESTERN SHORE AREA AND IMPROVEMENT CENTRE,Eating Establishment - Seasonal,Awaiting Application,6485 HIGHWAY 3 HWY.,WESTERN SHORE
RUDYS I,Eating Establishment,Awaiting Application,1681 GRANVILLE ST.,HALIFAX
SANDRA SABOURIN - LUNENBURG FARMERS' MARKET,Public Market - Vendor,Awaiting Application,21 GREEN ST.,LUNENBURG
ESQUIRE RESTAURANT,Eating Establishment,Awaiting Application,772 BEDFORD HWY.,BEDFORD
UNITED PROTESTANT CHURCH (THE),Eating Establishment,Awaiting Application,1524 KINGS RD.,SYDNEY RIVER
PORT BICKERTON COMMUNITY CENTRE,Eating Establishment,Awaiting Application,4854 HWY 211,PORT BICKERTON
LAWTONS DRUGS #895,Food Shop,Awaiting Application,157 COBEQUID RD.,LOWER SACKVILLE
PICTOU COUNTY WELLNESS CENTRE,Eating Establishment,Awaiting Application,2756 WESTVILLE RD.,WESTVILLE ROAD
GRUBSTAKE RESTAURANT,Eating Establishment,Awaiting Application,7499 MAIN ST.,LOUISBOURG
FREDERIC'S,Eating Establishment,Awaiting Application,1360 BARRINGTON ST.,HALIFAX
COMMUNITY CARES YOUTH OUT-REACH,Eating Establishment,Awaiting Application,55 KING ST.,SYDNEY MINES
ROYAL CANADIAN LEGION BRANCH 19,Eating Establishment,Awaiting Application,16 ARCHIBALD AVE.,NORTH SYDNEY
GENJI SUSHI,Eating Establishment,Awaiting Application,184 WYSE RD.,DARTMOUTH
DIV FOODS INC,Eating Establishment,Awaiting Application,15 YOUNG ST.,TRURO
D & W SWINIMER CONVENIENCE & DELI,Eating Establishment,Active,4150 HIGHWAY 1 HWY.,GARLANDS CROSSING
Hanley's Snak Shak,Mobile - Class 1 Seasonal,Awaiting Application,59 BELL ST.,MONCTON
GLENN'S HOT DAWG CART,Mobile - Class 2,Awaiting Application,4974 MAIN ST.,OXFORD
BERNIE SELIG - LF,Mobile - Class 3,Awaiting Application,19 PALMER DR.,SPECTACLE LAKES
MILLSTONE PUBLIC HOUSE (THE),Eating Establishment,Awaiting Application,250 BAKER DR. SUITE 108,DARTMOUTH
ALL ABOUT EWE WOOL SHOP,Eating Establishment,Awaiting Application,1905 MAIN ST.,WESTVILLE
BAM BAM'S BAGELS WITH CREAM CHEESE - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,HALIFAX
APARTMENT 3 ESPRESSO BAR INC,Eating Establishment,Awaiting Application,833 SACKVILLE DR.,LOWER SACKVILLE
HOSPICE HALIFAX,Eating Establishment,Active,618 FRANCKLYN ST.,HALIFAX
LIGHTFOOT & WOLFVILLE VINEYARDS,Eating Establishment,Active,11143 EVANGELINE TRAIL,WOLFVILLE
CBU EARLY CHILDHOOD CENTRE,Eating Establishment,Awaiting Application,1250 GRAND LAKE RD.,GRAND LAKE ROAD
HELL BAY BREWING CO - PUSHCART,Mobile - Class 2,Active,38 LEGION ST.,LIVERPOOL
Mezza Lebanese Kitchen,Eating Establishment,Active,14 PEAKVIEW WAY,HALIFAX
Saffron Indian Cuising - 30 FARNHAM GATE RD. - PID 00417212,Eating Establishment,Active,30 FARNHAM GATE RD.,HALIFAX
MINI TRAIL COMMUNITY CENTRE,Eating Establishment,Active,4382 HIGHWAY 337 HWY.,LAKEVALE
Harbourville Schnitzelhaus / Wolfville Farmers Market,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
MCDONALD'S RESTAURANT,Eating Establishment,Active,624 PICTOU RD.,VALLEY
Class 3 - Mobile Live Lobster,Mobile - Class 3,Awaiting Application,1375 HIGHWAY 16 HWY.,HAZEL HILL
ADVENTURES EAST CAMPGROUND AND COTTAGES,Food Shop,Active,9585 HIGHWAY 105,BADDECK
Birch & Anchor Beer Garden & Event Space,Eating Establishment,Active,367 BEDFORD HWY.,HALIFAX
URBAN PIER TRUCK GRILL (THE),Mobile - Class 1 Seasonal,Active,40 ARCHIBALD AVE.,SYDNEY
EAST WEST RESTAURANT,Eating Establishment,Active,693 HIGHWAY 7 HWY.,WESTPHAL
MCDONALD'S BRIDGEWATER,Eating Establishment,Active,288 DUFFERIN ST.,BRIDGEWATER
JASON WOODBURN - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,DARTMOUTH
HONEY & GINGER,Eating Establishment,Active,262 BAKER DR.,DARTMOUTH
MOUNTAIN LEA LODGE,Eating Establishment,Active,170 CHURCH ST.,BRIDGETOWN NORTH
SHENG'S CHINESE RESTAURANT,Eating Establishment,Active,362 LACEWOOD DR. UNIT,HALIFAX
LYNWOOD INN LTD,Eating Establishment - Seasonal,Active,441 SHORE RD.,BADDECK
CHUBBY'S LUNCH,Eating Establishment - Seasonal,Active,10071 GRENVILLE ST.,ST. PETER'S
KINGSWOOD CAMP,Eating Establishment - Seasonal,Active,15 Q-8 RD.,LAKE GEORGE
OSPREY RIDGE GOLF CLUB,Eating Establishment,Active,492 HAROLD WHYNOT RD.,PINE GROVE
CHOWDER HOUSE ON MAIN INC,Eating Establishment,Active,265 MAIN ST.,TATAMAGOUCHE
MEXICAN TAKOLOKO RESTAURANT,Eating Establishment,Active,3248 ISLEVILLE ST.,HALIFAX
BOUNCE KINGDOM HYPER CONE,Mobile - Class 1 Seasonal,Awaiting Application,60 GRAVENSTEIN DR.,BERWICK
BROWNSTONE CAFE,Eating Establishment,Active,244 MAIN ST. UNIT 2,ANTIGONISH
KAM-MOON,Eating Establishment,Active,2013 BRUNSWICK ST.,HALIFAX
LAUNDRY AT YOUR CONVENIENCE,Eating Establishment,Active,451 WINDMILL RD.,DARTMOUTH
SUGAH,Eating Establishment,Active,1479 LOWER WATER ST.,HALIFAX
GOLD HOUSE RESTAURANT,Eating Establishment,Active,4190 HIGHWAY 1 HWY.,GARLANDS CROSSING
RECARDO'S,Eating Establishment,Active,12779 PEGGY'S COVE RD.,TANTALLON
PORT WILLIAMS UNITED BAPTIST CHURCH,Eating Establishment,Active,1031 HIGHWAY 358 HWY.,PORT WILLIAMS
GREAT BRITISH GRUB CAFE,Eating Establishment,Active,535 PRINCE ST.,TRURO
KINGSTON LIONS HALL,Eating Establishment,Active,1482 VETERANS LANE,KINGSTON
SIP CAFE,Eating Establishment,Active,19 CONNECTOR RD.,METEGHAN
KENTUCKY FRIED CHICKEN (GREENWOOD),Eating Establishment,Active,731 CENTRAL AVE.,GREENWOOD
ALMA PIZZA & VARIETY,Eating Establishment,Active,5072 HIGHWAY 4 HWY.,ALMA
DB MACEACHERN SERVICE STATION,Food Shop,Active,5229 HIGHWAY 7 HWY.,SALT SPRINGS
Suprima Farms -  WOLFVILLE FARMERS' MARKET,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
SANDPIPER RESTAURANT,Eating Establishment,Active,8244 HIGHWAY 6 HWY.,PORT PHILIP
ANGIE'S FAMILY RESTAURANT,Eating Establishment,Active,71 MAIN ST.,MIDDLETON
FOXHILL CHEESE MARKET & DELI,Eating Establishment,Active,NULL,NULL
TIM HORTONS,Eating Establishment,Active,3811 HIGHWAY 3 HWY.,CHESTER
Tatamagouche Grain Elevator,Eating Establishment - Seasonal,Active,44 CREAMERY RD.,TATAMAGOUCHE
AU LOGIS DE METEGHAN,Eating Establishment,Active,8405 HIGHWAY 1 HWY.,METEGHAN
AVERYS FARM MARKETS LIMITED,Food Shop,Active,610 WILLOW ST.,TRURO
ROCKY (MOBILE #1),Mobile - Class 2,Active,5237 BLOWERS ST.,HALIFAX
WILSON'S GAS STOP #118 - Lower Sackville,Food Shop,Active,655 SACKVILLE DR.,LR SACKVILLE
PIZZA DELIGHT,Eating Establishment,Active,688 EAST RIVER RD.,NEW GLASGOW
BISSETT COURT,Eating Establishment,Active,74 CHAMEAU CRES.,COLE HARBOUR
AMHERST SHORE COUNTRY STORE,Eating Establishment,Active,6528 HIGHWAY 366 HWY.,AMHERST SHORE
"PARKLAND AT THE LAKES, HARRIS HALL (KITCHEN)",Eating Establishment,Active,82 BAKER DR.,DARTMOUTH
Cinderella's Caribbean Pot Jamaican Cuisine,Eating Establishment,Active,7861 HIGHWAY 221 HWY.,CENTREVILLE
OCO MART,Eating Establishment,Active,6303 QUINPOOL RD.,HALIFAX
BOND & HART'S CONVENIENCE 2014,Food Shop,Active,132 MAIN ST.,CANSO
PARKLAND ANTIGONISH,Eating Establishment,Active,153 HIGHWAY 337 HWY.,ANTIGONISH LANDING
CREPE CREPE CAFFE,Eating Establishment,Active,1070 BARRINGTON ST.,HALIFAX
BARRINGTON MUNICIPAL HIGH SCHOOL CAFETERIA,Eating Establishment,Active,536 OAK PARK RD.,OAK PARK
Bayside Gas and Convenience,Food Shop,Active,86 BAYSIDE RD. 1,PAQTNKEK-NIKTUEK 23
CHINA KING FAMILY RESTAURANT,Eating Establishment,Active,825 REEVES ST. UNIT 2,PORT HAWKESBURY
POINT GENERAL STORE (THE),Food Shop - Seasonal,Active,254 THE POINT RD.,BLUE ROCKS
MAIN AND MERSEY HOME STORE & COFFEE,Food Shop,Active,216 MAIN ST.,LIVERPOOL
NEEDS #4554,Food Shop,Active,45 ROBIE ST.,LOWER TRURO
ROCKIN' ROGI DINER,Eating Establishment,Active,101 COMMERCIAL ST.,MIDDLETON
NEEDS CONVENIENCE #503,Food Shop,Active,1920 SOUTH MAIN ST.,WESTVILLE
INDUS CUISINE 49 - HUBBARDS FARMERS MARKET,Public Market - Vendor,Active,57 HIGHWAY 3 HWY.,HUBBARDS
FRESH HAPPY HEALTHY SUSHI RESTAURANT,Eating Establishment,Active,75 PEAKVIEW WAY,BEDFORD
GREENFIELD AND DISTRICT FIRE DEPARTMENT,Eating Establishment,Active,4960 MEDWAY RIVER RD.,GREENFIELD
"KIDS AND COMPANY, LOWER SACKVILLE",Eating Establishment,Active,22 GLENDALE AVE.,LOWER SACKVILLE
MELVILLE LODGE CARE CENTRE,Eating Establishment,Active,50 SHOREHAM LANE,HALIFAX
COASTAL WATERS RESTAURANT,Eating Establishment,Active,36404 CABOT TRAIL,INGONISH
ILBUNJI BISTRO,Eating Establishment,Active,7071 BAYERS RD. SUITE 221,HALIFAX
HOME CHINESE MARKET,Food Shop,Active,795 GRAND LAKE,SYDNEY
TANCOOK ISLAND RECREATIONAL CENTRE,Eating Establishment,Active,39 SCHOOL RD.,BIG TANCOOK ISLAND
NOGGINS FOOD TRAILER,Eating Establishment - Seasonal,Active,9975 HIGHWAY 1 HWY.,GREENWICH
Route 3 Cellar Taproom & Grill,Eating Establishment,Active,344 MAIN ST.,LIVERPOOL
MIDDLEFIELD FARM - LIVERPOOL PRIVATEERS FARMERS MARKET,Public Market - Vendor,Active,38 HENRY HENSEY DR.,LIVERPOOL
BONNIE PRINCE BEVERAGE ROOM,Eating Establishment,Active,50 REEVES ST.,SYDNEY
PHARMASAVE CHARLOTTE STREET,Food Shop,Active,351 CHARLOTTE ST.,SYDNEY
The Press Artisan Panini,Public Market - Vendor,Active,15 YOUNG ST.,TRURO
POINT OF VIEW SUITES & RV PARK LIMITED,Eating Establishment - Seasonal,Active,15 COMMERCIAL ST. EX,LOUISBOURG
Tim Hortons,Eating Establishment,Active,4019 EASTERN AVE.,PARRSBORO
TIM HORTONS,Eating Establishment,Active,750 WESTVILLE RD.,NEW GLASGOW
NEW WATERFORD CONSOLIDATED HOSPITAL KITCHEN,Eating Establishment,Active,716 KING ST.,NEW WATERFORD
RIVER BREEZE CORN MAZE,Eating Establishment - Seasonal,Active,660 ONSLOW RD.,UPPER ONSLOW
SALTY ROSE'S AND THE PERIWINKLE CAFE,Eating Establishment,Active,36056 CABOT TRAIL UNIT 2,INGONISH
GRAINERY (THE),Food Shop,Active,2385 AGRICOLA ST.,HALIFAX
INVERNESS PANTRY (THE),Eating Establishment,Active,15938 CENTRAL AVE.,INVERNESS
NEW GLASGOW ACADEMY,Eating Establishment,Active,93 ALBERT ST.,NEW GLASGOW
BLACK BEAR ICE CREAM EMPORIUM LIMITED,Food Shop,Active,1751 LOWER WATER ST.,HALIFAX
BAYVIEW RESTAURANT & TAKE OUT,Eating Establishment,Active,13 MAIN ST.,JOGGINS
POLYMER INTERTAPE,Eating Establishment,Active,50 ABBEY AVE.,TRURO
TIM HORTONS,Eating Establishment,Active,4484 MAIN ST.,OXFORD
HORIZON ACHIEVEMENT CENTRE,Food Shop,Active,46 DORCHESTER ST.,SYDNEY
DIGBY EAST FISH & GAME ASSOCIATION,Eating Establishment,Active,1492 RIDGE RD.,NORTH RANGE
LOUISBURGER,Mobile - Class 1,Active,12 HAVENSIDE RD.,LOUISBOURG
FOYER PERE FISET,Eating Establishment,Active,15092 CABOT TRAIL,CHÉTICAMP
ISLANDVIEW HIGH SCHOOL #71558,Eating Establishment,Active,1853 CALDWELL RD.,EASTERN PASSAGE
OYSTER POND ACADEMY #71575,Eating Establishment,Active,10583 HIGHWAY 7 HWY.,OYSTER POND
JORDAN'S NATURAL ACRES - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
PICTOU LODGE BEACH RESORT,Eating Establishment,Active,172 LODGE RD.,BRAESHORE
MEXI'S,Eating Establishment,Active,222 CHAIN LAKE DR.,HALIFAX
A & W,Eating Establishment,Active,963 CENTRAL AVE.,GREENWOOD
CLUTTERBUCK/RHUBARB RESTAURANT,Eating Establishment,Active,8650 PEGGYS COVE RD.,INDIAN HARBOUR
SEASIDE BOWLING LANES AND LOUNGE,Eating Establishment,Active,960 HIGHWAY 1 HWY.,LITTLE BROOK
CINEPLEX CINEMAS BRIDGEWATER,Eating Establishment,Active,349 LAHAVE ST.,BRIDGEWATER
LONDON STREET ACADEMY FOR EARLY CHILDHOOD EDUCATION,Eating Establishment,Active,6462 LONDON ST.,HALIFAX
ALEXANDRA'S PIZZA,Eating Establishment,Active,228 CHARLOTTE ST.,SYDNEY
SUSHI JET ASIAN CUISINE,Eating Establishment,Active,5518 SPRING GARDEN RD.,HALIFAX
CARROLL'S CORNER COMMUNITY CENTER,Eating Establishment,Active,9 MILFORD RD.,CARROLLS CORNER
FAIRVIEW RESOURCE CENTRE,Eating Establishment,Active,6 TITUS ST.,HALIFAX
ST. ANNS LOBSTER GALLEY,Eating Establishment,Active,51943 CABOT TRAIL,SOUTH HAVEN
AS YOU LIKE IT,Eating Establishment,Active,1660 HOLLIS ST.,HALIFAX
SMALL WORLD LEARNING CENTRE,Eating Establishment,Active,352 YORK ST.,BRIDGEWATER
NSCC - WATERFRONT CAMPUS #77233,Eating Establishment,Active,"80 MAWIOMI PL. WING ""C""",DARTMOUTH
KEG RESTAURANT,Eating Establishment,Active,1712 MARKET ST.,HALIFAX
Fresh Food People,Food Shop,Active,2070 HIGHWAY 329 HWY.,THE LODGE
PORTER'S LAKE COMMUNITY CENTRE,Eating Establishment,Active,4693 HIGHWAY 7 HWY.,PORTERS LAKE
INN ON THE LAKE,Eating Establishment,Active,3009 HIGHWAY 2 HWY.,FALL RIVER
EB CHANDLER JR. HIGH SCHOOL,Eating Establishment,Active,28 DICKEY ST.,AMHERST
NEW MINAS CHILDRENS CENTRE,Eating Establishment,Active,9453 COMMERCIAL ST.,NEW MINAS
JUST IN THYME,Eating Establishment,Active,1290 KINGS RD.,SYDNEY RIVER
PORT MAITLAND CONSOLIDATED SCHOOL CAFETERIA,Eating Establishment,Active,3072 HIGHWAY 1 HWY.,PORT MAITLAND
BREWSTER'S BAR & GRILL,Eating Establishment,Active,961 BEDFORD HWY. UNIT 105,BEDFORD
CIRCLE K #2051,Food Shop,Active,2742 HIGHWAY 325 HWY.,WILEVILLE
I G C Convenience Store and Laundromat,Eating Establishment,Active,1312 BEDFORD HWY.,BEDFORD
DUKE'S PLACE PUB & GRILL,Eating Establishment,Active,1 PITT ST.,SYDNEY MINES
GRACE UNITED CHURCH,Eating Establishment,Active,70 KING ST.,DARTMOUTH
GOUTHRO'S NO FRILLS,Food Shop,Active,118 WYSE RD.,DARTMOUTH
STUDIO EAST FOOD & DRINK,Eating Establishment,Active,6021 CUNARD ST.,HALIFAX
"CHART SOCIETY (THE) (Culture, Heritage & Arts)",Eating Establishment,Active,9 CHURCH HILL,MAITLAND
Coda Ramen Company Limited,Eating Establishment,Active,2157 GOTTINGEN ST.,HALIFAX
CORNER STORE #2509,Food Shop,Active,30 MAIN ST.,BIBLE HILL
TASTY PIZZA,Eating Establishment,Active,760 HIGHWAY 7 HWY.,WESTPHAL
CENTRAL KINGS RURAL HIGH SCHOOL CAFETERIA,Eating Establishment,Active,6125 HIGHWAY 1 HWY.,CAMBRIDGE
Kabitenyos Filipino & Asian Variety Store,Food Shop,Active,572 PRINCE ST.,TRURO
Los Toros,Eating Establishment,Active,5075 GEORGE ST.,HALIFAX
COIN'S PIZZA,Eating Establishment,Active,537 PLEASANT ST.,DARTMOUTH
Nonna's Italiano Takeout,Eating Establishment,Active,3493 PLUMMER AVE.,NEW WATERFORD
SAVOY THEATRE,Eating Establishment,Active,116 COMMERCIAL ST.,GLACE BAY
AMHERST PHARMASAVE 807,Food Shop,Active,158 ROBERT ANGUS DR. UNIT 200,AMHERST
JAYN & T'S FINE FOOD - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
FITZGERALD'S RESTAURANT,Eating Establishment,Active,785 HIGHWAY 105 HWY.,BOULARDERIE EAST
ACADIAN MAPLE PRODUCTS LIMITED,Food Shop,Active,13578 PEGGYS COVE RD.,UPPER TANTALLON
HUBBARDS AREA LIONS CLUB,Eating Establishment,Active,21 LIONS CLUB RD.,FOX POINT
ROYAL CANADIAN LEGION 28,Eating Establishment,Active,140 MACKAY ST.,STELLARTON
Art Fisheries (Brian Deveau) LF,Mobile - Class 3,Active,1097 DENTREMONT RD.,METEGHAN STATION
MARIE ET GUY'S FRENCH BAKERY - ANNAPOLIS FARMERS AND TRADERS MARKET,Public Market - Vendor,Active,178 ST GEORGE ST.,ANNAPOLIS ROYAL
ENGLISHTOWN COMMUNITY HALL ASSOCIATION,Eating Establishment,Active,971 HIGHWAY 312 HWY.,ENGLISHTOWN
Liquid Gold Olive Oils & Vinegars,Food Shop,Active,1470 LOWER WATER ST.,HALIFAX
NSCC Kingstec Culinary Lab,Eating Establishment,Active,236 BELCHER ST.,NORTH KENTVILLE
RUSTY KICKER (THE) - ANTIGONISH FARMERS MARKET,Public Market - Vendor,Active,30 JAMES ST.,ANTIGONISH
Naan-n-Curry Restaurant Ltd.,Eating Establishment,Active,6386 QUINPOOL RD.,HALIFAX
PONDEROSA PLAY & LEARN CHILDREN'S CENTRE LTD.,Eating Establishment,Active,15 PONDEROSA DR.,WEST RIVER
GASPEREAU SCHOOL LUNCH PROGRAM,Eating Establishment,Active,2781 GREENFIELD RD.,GASPEREAU
WOODEN MONKEY DARTMOUTH (THE),Eating Establishment,Active,88 ALDERNEY DR.,DARTMOUTH
New Glasgow Farmers Market-Sweet Mountian Farm,Public Market - Vendor,Active,261 GLASGOW ST.,NEW GLASGOW
BROOKFIELD PRESCHOOL,Eating Establishment,Active,55 CARTER RD.,BROOKFIELD
SOBEYS INDOOR SPORTS COMPLEX,Eating Establishment,Active,120 OLD FOXBROOK RD.,STELLARTON
NSCC - FORRESTER CAFE #72231,Eating Establishment,Active,36 ARTHUR ST.,TRURO
SOBEYS TIMBERLEA #329,Eating Establishment,Active,65 MARKETWAY LANE,TIMBERLEA
FAR EAST CHINESE CUISINE,Eating Establishment,Active,5201 DUKE ST.,HALIFAX
SCOTIABANK CENTRE - POUTINE (NORTH),Eating Establishment,Active,1800 ARGYLE ST.,HALIFAX
SCOTIABANK CENTRE - HALIFAX BBQ (WEST),Eating Establishment,Active,1800 ARGYLE ST.,HALIFAX
90 EAST RAGGED ISLAND RD. - PID 80135759,Mobile - Class 3,Active,90 EAST RAGGED ISLAND RD.,EAST SIDE OF RAGGED ISLAND
ROYAL CANADIAN LEGION BRANCH 24,Eating Establishment,Active,78 CHURCHILL ST.,BRIDGEWATER
VERNON'S PIZZA,Eating Establishment,Active,10 CENTRE AVE.,GLACE BAY
MOUNT UNIACKE PUB AND EATERY,Eating Establishment,Active,125 HIGHWAY 1 HWY.,MOUNT UNIACKE
Cambridge & District Elementary,Eating Establishment,Active,6113 HIGHWAY 1 HWY.,CAMBRIDGE
COSY SNACK BAR,Eating Establishment,Active,6411 LIVERPOOL ST.,HALIFAX
ROLLED OAT CAFE (THE),Eating Establishment,Active,402 MAIN ST.,WOLFVILLE
ELMSDALE ESSO,Food Shop,Active,27 MASON LANE,ELMSDALE
ROYAL CANADIAN LEGION BRANCH 34,Eating Establishment,Active,39 NORTH PROVOST ST.,NEW GLASGOW
LIL' JEMS EARLY LEARNING CHILDCARE CENTRE,Eating Establishment,Active,1040 LAKESIDE RD.,MILTON HIGHLANDS
St. ANNE'S SCHOOL,Eating Establishment,Active,30 OFFICIAL ROW,GLACE BAY
JJ MART KOREAN FOOD INC,Food Shop,Active,2326 GOTTINGEN ST.,HALIFAX
TIM HORTONS 1630,Eating Establishment,Active,100 MCKEEN ST.,GLACE BAY
ICA CHILD CARE CENTER,Eating Establishment,Active,721 ALEXANDRA ST.,PRIME BROOK
SUBWAY,Eating Establishment,Active,HIGHWAY 104 HWY.,AULDS COVE
SANDRA SPURR AND BRYNE WAITO,Mobile - Class 2,Active,3 HENRY HATT RD.,CHESTER BASIN
Red Satay Restaurant Inc.,Eating Establishment,Active,1252 HOLLIS ST.,HALIFAX
