facility,permit_type,permit_status,facility_address,city
GRAINERY (THE),Food Shop,Active,2385 AGRICOLA ST.,halifax
BLACK BEAR ICE CREAM EMPORIUM LIMITED,Food Shop,Active,1751 LOWER WATER ST.,halifax
POLYMER INTERTAPE,Eating Establishment,Active,50 ABBEY AVE.,truro
JORDAN'S NATURAL ACRES - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
MEXI'S,Eating Establishment,Active,222 CHAIN LAKE DR.,halifax
LONDON STREET ACADEMY FOR EARLY CHILDHOOD EDUCATION,Eating Establishment,Active,6462 LONDON ST.,halifax
SUSHI JET ASIAN CUISINE,Eating Establishment,Active,5518 SPRING GARDEN RD.,halifax
FAIRVIEW RESOURCE CENTRE,Eating Establishment,Active,6 TITUS ST.,halifax
AS YOU LIKE IT,Eating Establishment,Active,1660 HOLLIS ST.,halifax
NSCC - WATERFRONT CAMPUS #77233,Eating Establishment,Active,"80 MAWIOMI PL. WING ""C""",dartmouth
KEG RESTAURANT,Eating Establishment,Active,1712 MARKET ST.,halifax
BREWSTER'S BAR & GRILL,Eating Establishment,Active,961 BEDFORD HWY. UNIT 105,bedford
I G C Convenience Store and Laundromat,Eating Establishment,Active,1312 BEDFORD HWY.,bedford
GRACE UNITED CHURCH,Eating Establishment,Active,70 KING ST.,dartmouth
GOUTHRO'S NO FRILLS,Food Shop,Active,118 WYSE RD.,dartmouth
STUDIO EAST FOOD & DRINK,Eating Establishment,Active,6021 CUNARD ST.,halifax
Coda Ramen Company Limited,Eating Establishment,Active,2157 GOTTINGEN ST.,halifax
Kabitenyos Filipino & Asian Variety Store,Food Shop,Active,572 PRINCE ST.,truro
Los Toros,Eating Establishment,Active,5075 GEORGE ST.,halifax
COIN'S PIZZA,Eating Establishment,Active,537 PLEASANT ST.,dartmouth
JAYN & T'S FINE FOOD - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
Liquid Gold Olive Oils & Vinegars,Food Shop,Active,1470 LOWER WATER ST.,halifax
Naan-n-Curry Restaurant Ltd.,Eating Establishment,Active,6386 QUINPOOL RD.,halifax
WOODEN MONKEY DARTMOUTH (THE),Eating Establishment,Active,88 ALDERNEY DR.,dartmouth
NSCC - FORRESTER CAFE #72231,Eating Establishment,Active,36 ARTHUR ST.,truro
FAR EAST CHINESE CUISINE,Eating Establishment,Active,5201 DUKE ST.,halifax
SCOTIABANK CENTRE - POUTINE (NORTH),Eating Establishment,Active,1800 ARGYLE ST.,halifax
SCOTIABANK CENTRE - HALIFAX BBQ (WEST),Eating Establishment,Active,1800 ARGYLE ST.,halifax
COSY SNACK BAR,Eating Establishment,Active,6411 LIVERPOOL ST.,halifax
ROLLED OAT CAFE (THE),Eating Establishment,Active,402 MAIN ST.,wolfville
JJ MART KOREAN FOOD INC,Food Shop,Active,2326 GOTTINGEN ST.,halifax
Red Satay Restaurant Inc.,Eating Establishment,Active,1252 HOLLIS ST.,halifax
SUSHI COVE,Eating Establishment,Active,355 HERRING COVE RD.,halifax
EL CHINO SNACK BAR,Eating Establishment,Active,2398 ROBIE ST.,halifax
MAPPATURA BISTRO,Eating Establishment,Active,5883 SPRING GARDEN RD.,halifax
The Millstone Public House,Eating Establishment,Active,67 KINGS WHARF PL.,dartmouth
VALLEY ELEMENTARY SCHOOL,Eating Establishment,Active,96 SALMON RIVER RD.,truro
ON ROUTE CONVENIENCE,Food Shop,Active,24 NANTUCKET AVE.,dartmouth
Chicken Little Cafe,Eating Establishment,Active,1525 BEDFORD HWY.,bedford
Pon Pon Foods,Eating Establishment,Active,70 KING ST.,dartmouth
SHOPPERS DRUG MART #134,Food Shop,Active,315 HERRING COVE RD.,halifax
SUGAR BAKERY,Eating Establishment,Active,1535 DRESDEN ROW UNIT 128,halifax
RANDY'S PIZZA AND DONAIR,Eating Establishment,Active,2380 AGRICOLA ST.,halifax
"M&Y THE NORTH GROCERY CO., LTD/HALIFAX",Food Shop,Active,1544 GRANVILLE ST.,halifax
ASAP Mabuhay Filipino Restaurant,Eating Establishment,Active,5237 BLOWERS ST.,halifax
T. Kettle,Food Shop,Active,7001 MUMFORD RD. UNIT 256A,halifax
FRESHII AT SCOTIA SQUARE,Eating Establishment,Active,5201 DUKE ST.,halifax
Bedford Superstore #378,Eating Establishment,Active,1650 BEDFORD HWY.,bedford
JACK ASTOR'S BAR AND GRILL,Eating Establishment,Active,107 SHUBIE DR.,dartmouth
CEP KITCHEN,Eating Establishment,Active,34 LORNE ST.,truro
Saj House,Eating Establishment,Active,19 ALMA CRES.,halifax
ST. JOHNS ANGLICAN CHURCH,Eating Establishment,Active,23 CHURCH ST.,truro
That Dutchman's Farm (Halifax Seaport Farmers Market),Public Market - Vendor,Active,1031 MARGINAL RD.,halifax
MSVU - Seton Hall #72221,Eating Establishment,Active,166 BEDFORD HWY.,halifax
A&W,Eating Establishment,Active,20 DAMASCUS RD.,bedford
LAWTONS DRUGS #157,Food Shop,Active,2615 NORTHWOOD TERR.,halifax
LAWTONS #128,Food Shop,Active,287 LACEWOOD DR. UNIT 107,halifax
FRANK & GINOS,Eating Establishment,Active,286 ROBIE ST.,truro
Inn on Prince Hotel and Conference Centre Truro,Eating Establishment,Active,437 PRINCE ST.,truro
Sapori Italian Street Food Ltd.,Eating Establishment,Active,1741 LOWER WATER ST.,halifax
PRINCE GEORGE HOTEL (THE) / GIO / LEVEL BAR / TERRACE (THE),Eating Establishment,Active,1725 MARKET ST.,halifax
HAMACHI KITA,Eating Establishment,Active,5537 YOUNG ST.,halifax
Pizzadelic,Eating Establishment,Active,537 PLEASANT ST.,dartmouth
MAPLE TREE MONTESSORI,Eating Establishment,Active,3008 OXFORD ST.,halifax
COSTCO WHOLESALE LTEE,Eating Establishment,Active,137 COUNTRYVIEW DR.,dartmouth
DAIRY QUEEN,Eating Establishment,Active,188 CHAIN LAKE DR.,halifax
BOSTON PIZZA,Eating Establishment,Active,194 CHAIN LAKE DR. UNIT,halifax
THOMEHS MARKET,Food Shop,Active,5580 CORNWALLIS ST.,halifax
Acadiana Soy Products - HALIFAX BREWERY MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
TATTINGSTONE INN,Eating Establishment,Active,620 MAIN ST.,wolfville
WOOD STREET CENTRE,Eating Establishment,Active,225 WOOD ST.,truro
ODELL'S GLUTEN FREE BAKERY & CAFE,Eating Establishment,Active,30 FARNHAM GATE RD.,halifax
LIQUID GOLD TASTING BAR & ALL THINGS OLIVE,Food Shop,Awaiting Application,1595 BEDFORD HWY.,bedford
WYNN PARK VILLA,Eating Establishment,Active,32 WINDSOR WAY,truro
NORTHWOOD - SECOND FLOOR MANOR,Eating Establishment,Active,2630 GOTTINGEN ST.,halifax
CLEARWATER LOBSTER SHOPS,Eating Establishment,Active,757 BEDFORD HWY.,bedford
DARTMOUTH DAY CARE CENTRE (CRICHTON),Eating Establishment,Awaiting Application,33 CRICHTON AVE.,dartmouth
KYO KITCHEN & BAR,Eating Establishment,Awaiting Application,1715 BARRINGTON ST.,halifax
SHIRLEYS & NOVELEES CATERING & TAKE-OUT,Eating Establishment,Active,2269 GOTTINGEN ST.,halifax
MJ SMOKE SHOP,Food Shop,Active,7071 BAYERS RD. SUITE 221,halifax
Dylan's No Frills,Food Shop,Active,16 DENTITH RD.,halifax
PASTURE HILL FARM - ALDERNEY LANDING  FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
DINAH'S SOURDOUGH,Eating Establishment,Awaiting Application,3540 NOVALEA DR.,halifax
CUNARD EVENT CENTRE (THE),Eating Establishment,Active,961 MARGINAL RD.,halifax
QUICKPLUS CONVENIENCE,Food Shop,Active,1475 LOWER WATER ST.,halifax
STIRLING FRUIT FARMS,Food Shop,Active,873 BEDFORD HWY.,bedford
MAPLESTONE ENHANCED CARE,Eating Establishment,Active,245 MAIN AVE.,halifax
PIZZA DELIGHT BAYERS LAKE,Eating Establishment,Active,209 CHAIN LAKE DR.,halifax
Gama by Lee,Eating Establishment,Active,1496 LOWER WATER ST.,halifax
AFRITE,Eating Establishment,Active,1360 LOWER WATER ST.,halifax
LAWTONS 163,Food Shop,Active,6155 NORTH ST.,halifax
"OBLADEE, A Wine Bar",Eating Establishment,Awaiting Application,1600 BARRINGTON ST.,halifax
FAIRVIEW ESSO,Food Shop,Active,3600 DUTCH VILLAGE RD.,halifax
SPENCER HOUSE SENIORS CENTRE,Eating Establishment,Active,5596 MORRIS ST.,halifax
DOOLYS,Eating Establishment,Active,590 PORTLAND ST.,dartmouth
BIG WEDGE PIZZA,Eating Establishment,Active,5553 DUFFUS ST.,halifax
ROYAL CANADIAN LEGION SOMME BR 31,Eating Establishment,Active,54 KING ST.,dartmouth
CROSSFIT BASINVIEW,Eating Establishment,Awaiting Application,9 SCIENCE PARK DR.,bedford
SUPERSTAR KARAOKE & LOUNGE,Eating Establishment,Active,2099 GOTTINGEN ST. APT,halifax
CHATIME,Eating Establishment,Active,1070 BARRINGTON ST.,halifax
MUDDYS CONVENIENCE STORE,Food Shop,Active,446 MAIN ST.,wolfville
Tasty Kitchen,Eating Establishment,Active,1222 HENRY ST.,halifax
SAVEWAY CONVENIENCE STORE,Food Shop,Active,25 CRYSTAL DR.,dartmouth
PARTNERS FOR CARE - QEII PARTNERS FOR CARE FARMERS MARKET (Organizer),Public Market - Vendor,Awaiting Application,1276 SOUTH PARK ST.,halifax
BENTO SUSHI IN SOBEYS (BEDFORD HWY),Eating Establishment,Awaiting Application,955 BEDFORD HWY.,bedford
SMOKES POUTINERIE HALIFAX WATERFRONT - KIOSK #17,Eating Establishment,Active,1549 LOWER WATER ST.,halifax
HAPPY TOTS PRESCHOOL & NURSERY,Eating Establishment,Active,89 GORDON AVE.,halifax
SOBEYS #725,Eating Establishment,Active,55 PEAKVIEW WAY,halifax
HALIFAX WEST HIGH SCHOOL #71465,Eating Establishment,Active,283 THOMAS RADDALL DR.,halifax
EVOLVE FITNESS,Food Shop - Seasonal,Awaiting Application,3667 STRAWBERRY HILL ST. UNIT 220,halifax
MIDDLE SPOON (THE),Eating Establishment,Awaiting Application,1595 BEDFORD HWY.,bedford
TIM HORTONS,Eating Establishment,Awaiting Application,923 ROBIE ST.,halifax
NOODLE NAMI BEDFORD,Eating Establishment,Active,936 BEDFORD HWY. SUITE 112,bedford
Lucky Onion Food Services,Eating Establishment,Active,5775 CHARLES ST.,halifax
CORA BREAKFAST AND LUNCH,Eating Establishment,Active,277 LACEWOOD DR.,halifax
TOP TEA,Eating Establishment,Active,1551 SOUTH PARK ST. UNIT,halifax
STARBUCKS COFFEE # 20568,Eating Establishment,Active,7001 MUMFORD RD. UNIT 256A,halifax
GOOD ROBOT BREWING CO,Eating Establishment,Active,2736 ROBIE ST.,halifax
Dartmouth Superstore #352,Eating Establishment,Active,650 PORTLAND ST.,dartmouth
BENTO SUSHI IN SOBEYS (PEAKVIEW WAY),Eating Establishment,Active,55 PEAKVIEW WAY,halifax
TIM HORTONS,Eating Establishment,Active,84 MAIN ST.,dartmouth
HOP! SKIP! JUMP! INDOOR PLAY SPACE,Eating Establishment,Active,150 SUSIE LAKE CRES.,halifax
HOPYARD HALIFAX INC,Eating Establishment,Awaiting Application,2103 GOTTINGEN ST.,halifax
ATHENS RESTAURANT,Eating Establishment,Active,6273 QUINPOOL RD.,halifax
ECOLE ST. CATHERINE'S SCHOOL,Eating Establishment,Active,3299 CONNOLLY ST.,halifax
South Asian Mart,Food Shop,Active,100 ILSLEY AVE. UNIT,dartmouth
AL-ARZ FOODS,Food Shop,Active,19 ALMA CRES.,halifax
SCOTIABANK CENTRE - DONAIR,Eating Establishment,Active,1800 ARGYLE ST.,halifax
SYRIAN FAMILY FOOD - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Awaiting Application,24 ELM AVE.,wolfville
SKYWAY CONVENIENCE,Eating Establishment,Active,12 SKYWAY DR.,wolfville
Friends for Life Truro Inc.,Eating Establishment,Active,24 KAULBACK ST.,truro
DANJI RESTAURANT,Eating Establishment,Active,8 ELM AVE.,wolfville
Vines Fusion & Grill,Eating Establishment,Active,73 ALDERNEY DR.,dartmouth
MARQUEE BALLROOM (THE),Eating Establishment,Active,2037 GOTTINGEN ST.,halifax
SOBEYS EXPRESS #4623,Food Shop,Active,975 WILKINSON AVE.,dartmouth
JULIEN'S PASTRY SHOP,Eating Establishment,Active,5517 YOUNG ST.,halifax
DAIRY QUEEN,Eating Establishment,Active,162 MAIN ST.,dartmouth
TART & SOUL CAFE,Eating Establishment,Active,6389 COBURG RD.,halifax
Bombay Bistro Pizza & Restaurant,Eating Establishment,Active,210 WENTWORTH DR.,halifax
HENRY & MARIA WALL - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
KABAYAN FOOD MART,Food Shop,Active,172 WYSE RD.,dartmouth
BEAN SPROUTS LEARNING CENTER,Eating Establishment,Active,110 FREDERICK AVE. UNIT,halifax
Domino's Pizza,Eating Establishment,Active,50 TACOMA DR.,dartmouth
SEITAN'S KITCHEN - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Awaiting Application,24 ELM AVE.,wolfville
Mary Tay - DARTMOUTH FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
CAFE GOODLUCK,Eating Establishment,Active,145 PORTLAND ST.,dartmouth
TIM HORTONS,Eating Establishment,Active,1199 HAMMONDS PLAINS RD.,bedford
WELLNESS CAFE,Eating Establishment,Active,88 GLORIA MCCLUSKEY AVE.,dartmouth
NEW LEAF CAFE (O'REGAN'S TOYOTA),Eating Establishment,Active,3575 KEMPT RD.,halifax
RED ASIAN FUSION RESTAURANT,Eating Establishment,Active,1212 HOLLIS ST.,halifax
PETER GREEN HALL CHILDRENS CENTRE,Eating Establishment,Active,1094 WELLINGTON ST.,halifax
COWS (Kiosk),Eating Establishment,Active,1549 LOWER WATER ST.,halifax
BAHAY KUBO:FILIPINO AND ASIAN GROCERY STORE,Food Shop,Awaiting Application,56 SUPREME CRT. UNIT 5,halifax
GD MEAT MARKET LTD,Eating Establishment,Awaiting Application,1 WRIGHT AVE.,dartmouth
JESSYS PIZZA,Eating Establishment,Active,1 KINGSWOOD,halifax
SUBWAY,Eating Establishment,Awaiting Application,19 ALMA CRES.,halifax
Jamaica Vibes Express,Eating Establishment,Active,5527 CORNWALLIS ST.,halifax
St Joseph's Children's Centre (Monastery),Eating Establishment,Active,30 DAMASCUS RD. UNIT 110,bedford
TURKISH AND MEDITERRANEAN BAKES AND FOOD - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
NAKED CREPE BISTRO INC (THE),Eating Establishment,Active,406 MAIN ST.,wolfville
MASKWA AQUATIC CLUB,Eating Establishment - Seasonal,Active,91 SASKATOON DR.,halifax
TRENDZ CAFE AND WINE BAR,Eating Establishment,Active,15 SPECTACLE LAKE DR.,dartmouth
INTERCOLONIAL CAFE,Eating Establishment,Active,168 ARTHUR ST.,truro
SHERWOOD PARK PRESCHOOL (2015) LIMITED,Eating Establishment,Active,22 CARROLL LANE,halifax
STEVE-O-RENO'S CAPPUCCINO,Eating Establishment,Active,1536 BRUNSWICK ST.,halifax
ELEMENTS ON HOLLIS (WESTIN NS),Eating Establishment,Awaiting Application,1181 HOLLIS ST.,halifax
GREAT WALL RESTAURANT (THE),Eating Establishment,Active,1649 BEDFORD ROW,halifax
INDIAN GROCERIES,Food Shop,Active,2585 ROBIE ST.,halifax
KIDS R KIDS DAY CARE INC.,Eating Establishment,Active,18 OLAND CRES.,halifax
902 RESTAURANT & CATERING,Eating Establishment,Active,1579 DRESDEN ROW UNIT,halifax
BOUNTYWOODS FARM - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Active,2901 WINDSOR ST.,halifax
BURGER KING,Eating Establishment,Active,88 TACOMA DR.,dartmouth
GARY'S FRESH SEAFOOD - MOBILE 2,Mobile - Class 3,Active,24 CEDAR CRT.,dartmouth
SUBWAY,Eating Establishment,Active,209 CHAIN LAKE DR.,halifax
MONTE'S BAR & GRILL/CANAL FAMILY RESTAURANT,Eating Establishment,Active,245 WAVERLEY RD. UNIT,dartmouth
HALIFAX WEST CHILDRENS CENTER,Eating Establishment,Active,51 SUPREME CRT.,halifax
BOOSTER JUICE,Eating Establishment,Active,5201 DUKE ST.,halifax
LODGE THAT GIVES/CAN CANCER SOCIETY,Eating Establishment,Active,5826 SOUTH ST.,halifax
TIM HORTONS,Eating Establishment,Active,5511 SPRING GARDEN RD.,halifax
BOOZA EMESSA ICE CREAM,Food Shop,Active,819 BEDFORD HWY.,bedford
Indo Urban Junction,Eating Establishment,Active,20 WRIGHT AVE.,dartmouth
SWEETWOOD FARM - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
ASHBURN GOLF CLUB,Eating Establishment,Active,3250 JOSEPH HOWE DR.,halifax
HUGO'S BAR & GRILL,Eating Establishment,Awaiting Application,451 WINDMILL RD.,dartmouth
MCDONALDS,Eating Establishment,Active,1493 BEDFORD HWY.,bedford
RISTORANTE A MANO,Eating Establishment,Awaiting Application,1477 LOWER WATER ST.,halifax
KENNY'S PIZZA,Eating Establishment,Active,122 KEARNEY LAKE RD.,halifax
PASTURE HILL FARM - HISTORIC  FARMERS MARKET CO-0PERATIVE LIMITED,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
DAIRY QUEEN,Eating Establishment,Awaiting Application,21 MICMAC BLVD.,dartmouth
PANADA PIZZA,Eating Establishment,Awaiting Application,56 SUPREME CRT. UNIT 11,halifax
MOON FIRE FARM - HALIFAX BREWERY MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
CRYSTALS CONVENIENCE,Food Shop,Awaiting Application,1268 HOLLIS ST.,halifax
PURPLE DOOR CHILDREN'S CENTRE INC.,Eating Establishment,Awaiting Application,9 DUMBARTON AVE.,dartmouth
NEWFOUNDLAND SOCIAL CLUB,Eating Establishment,Awaiting Application,40 WRIGHT AVE.,dartmouth
FACULTY LOUNGE/WINDOW,Eating Establishment,Awaiting Application,923 ROBIE ST.,halifax
BUTTERED BLISS,Eating Establishment,Awaiting Application,70 KING ST.,dartmouth
CAFE 98 ON PORTLAND,Eating Establishment,Awaiting Application,98 PORTLAND ST.,dartmouth
FAIRVIEW UNITED CHURCH,Eating Establishment,Awaiting Application,3524 DUTCH VILLAGE RD.,halifax
BLUENOSE II RESTAURANT,Eating Establishment,Awaiting Application,1824 HOLLIS ST.,halifax
TIM HORTONS,Eating Establishment,Awaiting Application,106 ILSLEY AVE.,dartmouth
KOFUKU,Eating Establishment,Active,2752 ROBIE ST.,halifax
DAILY GRIND SUGAR FIX,Food Shop,Awaiting Application,5490 SPRING GARDEN RD.,halifax
ALEXANDRAS PIZZA,Eating Establishment,Awaiting Application,211 PLEASANT ST.,dartmouth
JESSY'S PIZZA (PAULO PIZZA & DONAIR),Eating Establishment,Awaiting Application,30 FARNHAM GATE RD.,halifax
Eric Thibault Mobile #1 (Bay of Fundy Finest Seafood),Mobile - Class 3,Awaiting Application,124 WOODLAWN RD.,dartmouth
PLAZA GROCERY,Food Shop,Active,1864 ALBEMARLE ST.,halifax
SUSHI BY BENTO NOUVEAU - Braemar Dr.,Eating Establishment,Active,9 BRAEMAR DR.,dartmouth
DAVES VALLEY FRUIT AND VEGETABLES,Food Shop,Active,322 MAIN ST.,dartmouth
BIONE KOREAN RESTAURANT,Eating Establishment,Active,1030 SOUTH PARK ST.,halifax
HEALTHYWAY CAFE @ MPC,Eating Establishment,Active,6960 MUMFORD RD. UNIT B,halifax
PINE HOUSE HOLDING,Eating Establishment,Active,5640 SPRING GARDEN RD. UNIT B107,halifax
Belly Up BBQ & Grill,Eating Establishment,Active,214 ROBIE ST.,truro
BROTHERS MEAT LTD,Eating Establishment,Active,2665 AGRICOLA ST.,halifax
BEDFORD TIGER EXPRESS,Food Shop,Active,1505 BEDFORD HWY.,bedford
SPLIT CROW,Eating Establishment,Active,1855 GRANVILLE ST.,halifax
Northwoodcare Bedford Inc.,Eating Establishment,Active,123 GARY MARTIN DR.,bedford
BOULANGERIE LA VENDEENNE - HALIFAX BREWERY MARKET,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
SLOW DOUGH PASTRIES - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
WAVERLEY ROAD CHILDREN'S CENTER,Eating Establishment,Active,194 WAVERLEY RD.,dartmouth
REGIMENTAL TEA SHOP,Eating Establishment,Active,5425 SACKVILLE ST.,halifax
BROTHER KHURSHID'S HALAL SHACK,Eating Establishment,Active,5 HARTLEN AVE.,halifax
MCDONALDS (WALMART),Eating Establishment,Active,100 DUKE ST.,bedford
Shivani's Kitchen,Public Market - Vendor,Active,3540 NOVALEA DR.,halifax
SUBWAY,Eating Establishment,Active,7071 BAYERS RD. SUITE 221,halifax
HENG FUNG RESTAURANT,Eating Establishment,Active,179 WYSE RD.,dartmouth
SHOPPERS DRUG MART #125,Food Shop,Active,1595 BEDFORD HWY.,bedford
GETAWAY FARM BUTCHER SHOP-HYDROSTONE,Food Shop,Active,5544 KAYE ST.,halifax
DAIRY BAR (BY MANUAL CO.),Eating Establishment,Active,5688 SPRING GARDEN RD.,halifax
BYBLOS LEBANESE GRILL,Eating Establishment,Active,644 PORTLAND ST. UNIT 6,dartmouth
PG'S CAFE AND GRILL,Eating Establishment,Active,1266 HOLLIS ST.,halifax
MARITIME MUSLIM ACADEMY,Eating Establishment,Active,6225 CHEBUCTO RD.,halifax
SUBWAY,Eating Establishment,Active,5683 SPRING GARDEN RD.,halifax
BELLY UP BBQ AND GRILL,Eating Establishment,Active,214 ROBIE ST.,truro
SUBWAY,Eating Establishment,Active,471 MAIN ST.,wolfville
ALEXANDRA'S PIZZA,Eating Establishment,Active,1735 GRAFTON ST.,halifax
BOARD ROOM GAME CAFE (THE),Eating Establishment,Active,1256 BARRINGTON ST.,halifax
JUNIPER FOOD & WINE,Eating Establishment,Active,389 MAIN ST.,wolfville
BLUE CARROT KITCHEN,Eating Establishment,Active,275 ROCKY LAKE DR. UNIT 17,bedford
MEZZA WAREHOUSE,Eating Establishment,Active,10 MORRIS DR. UNIT 18,dartmouth
LOWER DECK PUB (THE),Eating Establishment,Active,1869 UPPER WATER ST.,halifax
CINEPLEX CINEMAS TRURO,Eating Establishment,Active,20 TREATY TRAIL,truro
MEZZA LEBANESE KITCHEN,Eating Establishment,Active,349 HERRING COVE RD.,halifax
ROCKY LAKE JUNIOR HIGH  #71551,Eating Establishment,Active,670 ROCKY LAKE DR.,bedford
Tipico Pasta,Eating Establishment,Active,3450 DUTCH VILLAGE RD.,halifax
YEAH YEAH'S PIZZA,Eating Establishment,Active,1663 BARRINGTON ST.,halifax
AUCTION HOUSE/CHEERS BAR AND GRILL/THE DOME NIGHT CLUB/THE FIVE FISHERMEN GRILL,Eating Establishment,Active,1741 GRAFTON ST.,halifax
ROYAL CANADIAN LEGION,Eating Establishment,Active,1772 BEDFORD HWY.,bedford
FANCY LEBANESE BAKERY,Food Shop,Active,2573 AGRICOLA ST.,halifax
MIZU ALL YOU CAN EAT,Eating Establishment,Active,644 PORTLAND ST. UNIT 6,dartmouth
FLANNELS FOOD TRUCK #72111,Mobile - Class 1,Active,44 HIGHLAND AVE.,wolfville
Taste of Africa,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
SUBWAY #21876,Eating Establishment,Active,1595 BEDFORD HWY.,bedford
